ID,repeat_coverage,phastcons_elements_20way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,Distance_closest_pc,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_2,genomic_classification_is_6,genomic_classification_is_8,DISEASE_DB_is_1
ENSG00000282024,0.0,0.0,0.0,0.222695308,0.0,0.0,0.0,0.0,9.69e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.01e-05,0.0,0.0,0.0,7.89e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000282021,0.0,0.0,0.0,0.217242642,0.000207002,0.0,2.26e-05,0.000146598,2.8e-05,0.0,0.0,0.0,4.1e-05,5.38e-05,1.93e-05,1.01e-05,4.06e-05,1.93e-05,0.000282821,9.86e-06,0.0,0.000231939,0.000441922,0.0,0.000103608,0.0,0.0,6.55e-05,5.08e-05,1.73e-05,8.68e-05,0.0,0.0,0.0,4.24e-05,0.00028115,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000281912,0.0,0.0,0.0,0.216585894,0.000128144,0.000538066,0.00120793,0.0,0.000165719,6.34e-05,4.52e-05,0.0,0.000396794,0.000663231,0.000398041,0.0,0.0,0.0,0.000881736,0.000678185,0.0,0.000455287,0.001063374,0.000150591,0.000374585,0.000212372,0.00015746,0.000533105,0.000325957,0.000588259,0.0,0.000768756,0.00046888,0.0,0.000251904,8.95e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000281796,0.0,0.0,0.0,0.255868537,0.0,0.000147415,0.000211388,0.000347492,1.53e-05,0.000464664,2.26e-05,0.000485416,0.000251759,8.07e-05,0.0,0.00016838,0.0,1.93e-05,0.000188547,0.000552011,2.62e-05,0.0,0.001726257,0.0,0.000318795,8.26e-05,0.0,0.0,8.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
ENSG00000281649,0.0,0.046920821,0.034264547,0.224270671,0.01817671,0.045514517,0.033655951,0.013177541,0.004216903,0.010546473,0.006152943,0.003135214,0.006800227,0.018937934,0.008898134,0.004719682,0.010977928,0.009682454,0.01879374,0.011600123,0.017891133,0.015668757,0.016986369,0.00523304,0.009858747,0.025472822,0.00937541,0.003948035,0.005856547,0.048958147,0.02057108,0.02467096,0.014955542,0.033469846,0.014398673,0.025955272,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000281501,0.0,0.061337009,0.020905123,0.215942448,0.00283395,0.005601787,0.006688913,0.0,0.00031614,0.002787986,0.003855468,0.000262696,0.000637607,0.0,0.002824804,0.000215526,0.004312344,0.003844079,0.00145847,0.000897018,0.0,0.011365003,0.000966704,0.0,0.001291121,0.0,0.002112584,0.000231595,0.009813456,0.000622863,0.000800219,0.0,0.00023444,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0.0,0,0,1,0
ENSG00000281398,0.0,0.023983316,0.008863399,0.216045532,0.03220846,0.119222236,0.118286551,0.112147554,0.041215508,0.016974331,0.015416227,0.008219705,0.018624685,0.06541788,0.01935633,0.010909317,0.003929797,0.022356353,0.010098377,0.026307281,0.0,0.09133236,0.147947135,0.008832166,0.010658392,0.014087332,0.014669991,0.047234409,0.002546208,0.098250794,0.023942281,0.073192875,0.021940132,0.026012975,0.011449386,0.092996805,0.0,0.0,0.0,0.0,0.0,0,0,1,0
ENSG00000281344,0.0,0.085844174,0.058562711,0.21602087,2.46e-05,0.000206382,1.51e-05,3.26e-05,7.65e-06,2.11e-05,0.0,4.19e-05,3.56e-05,4.48e-05,0.0,8.42e-06,0.0,9.63e-06,1.11e-05,0.00014786,0.0,0.0,0.000138101,0.0,2.66e-05,0.0,0.0,6.55e-06,0.0,5.77e-05,6.43e-06,0.0,5.72e-05,0.0,1.78e-05,1.28e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000281332,0.0,0.0,0.011720227,0.245113674,0.001143437,0.000250606,0.0,0.00048866,6.63e-05,0.000535068,0.000485462,0.000295057,0.000965988,0.000950034,0.0002889,7.41e-05,7.54e-05,0.0,0.000743099,0.000230662,0.000382782,0.002800447,0.017994504,0.000293653,0.00136285,0.000401147,0.000357565,0.000758145,0.000537028,0.000772811,0.001185866,0.000942031,0.000343083,0.002908452,0.000285343,0.004434505,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000281202,0.0,0.0,0.015758667,0.217748365,0.0,0.0,0.0,5.43e-05,1.53e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000281189,0.0,0.0,0.0,0.219725535,0.000202073,0.000471729,0.000422776,0.00024433,7.9e-05,9.86e-05,0.000163702,1.33e-05,0.0,0.000233027,0.00017976,7.41e-05,0.000353566,0.000342017,0.000720917,0.000100545,0.000188769,0.000146036,0.0,0.0,0.0,0.000353953,0.000183703,1.09e-05,0.000275194,0.0,0.000128549,5.13e-05,0.0,0.000543636,0.0,0.000306709,0.0,0.0,0.0,0.0,0.0,0,0,0,1
ENSG00000281103,0.0,0.0,0.0,0.217306377,0.00049779,0.008697511,0.006485075,0.000879589,0.000142773,0.000288655,0.000237086,9.33e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000277276,0.001336656,0.0,0.000420926,0.000469542,0.0,0.0,0.0,0.0,0.0,0.0,1.73e-05,9e-05,0.000165954,0.00011722,0.001812119,0.0,0.000102236,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000281005,0.0,0.0,0.0,0.215932749,5.42e-05,0.000456988,0.000626614,4.89e-05,5.1e-06,0.000633633,0.000214506,0.000308382,0.000623924,0.000770782,0.0,6.23e-05,0.0,7.71e-05,0.000177456,0.00034895,0.000555821,5.15e-05,0.000234771,0.000158121,0.000770422,0.000247767,7.22e-05,0.000380165,0.00016565,0.00046138,0.0,0.000300181,0.0,0.000262757,0.0,0.000460064,0.0,0.0,0.0,0.0,0.0,0,0,1,0
ENSG00000280798,0.0,0.062027231,0.091679274,0.239841682,0.012617239,0.005365922,0.004386296,0.005500144,0.000958619,0.005392923,0.00374257,0.001387718,0.001182172,0.004911495,0.003210005,0.003990598,0.00836386,0.006392347,0.011146479,0.001695463,0.006056348,0.006889442,0.0,0.002492282,0.001415983,0.005816629,0.003037659,0.00212805,0.000454203,0.00577878,0.003384057,0.001342272,0.002487349,0.005445419,0.004376002,0.002428115,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000280739,0.0,0.050691244,0.03797235,0.215952701,0.000630862,0.000936088,0.00104184,0.0,0.000193763,0.001668568,0.001016082,0.00039214,0.000405003,0.00083352,0.000609901,4.38e-05,0.000220254,0.000298663,0.000366004,0.000317406,0.0,0.0,0.000593832,0.0,0.000215187,0.000637116,5.25e-05,2.62e-05,0.0,0.00209351,0.000880562,0.000241609,0.0,0.0,0.0,0.000830671,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000280710,0.0,0.019914651,0.0,0.215976809,0.000330217,0.001275144,0.002732942,0.002807082,0.000622082,0.000506907,0.0,0.000118023,0.000998826,0.002509523,0.002413924,0.0,0.00079987,0.000626228,0.001486197,0.000522439,0.0,0.000343613,0.0,0.0,0.0,0.00060172,0.000593754,0.000637978,0.0,0.001136147,0.0,0.0,0.0,0.003506451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000280543,0.0,0.0,0.0,0.315400617,0.000128144,6.63e-05,2.26e-05,2.71e-05,1.27e-05,0.000267534,1.13e-05,0.00041879,5.2e-05,0.0,0.0,0.00018185,0.0,7.71e-05,0.000415913,7.1e-05,0.0,0.0,0.000828603,0.0,0.000191277,0.00022417,0.0,0.000664196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
ENSG00000280426,0.0,0.101873536,0.0,0.215964894,0.000414003,0.000840268,0.000619064,0.000168316,3.57e-05,0.000295696,0.000231441,6.66e-05,7.94e-05,0.000304728,0.0,6.57e-05,6.96e-05,0.000130063,0.000820736,0.000289806,0.000272667,0.000498239,0.000317631,0.0,7.97e-05,0.000448341,0.000246031,0.0,0.000192368,0.000265293,0.000170328,0.000327026,0.0,0.000299,0.000289801,0.000460064,0.0,0.0,0.0,0.0,0.0,1,0,0,0
ENSG00000280388,0.0,0.0,0.0,0.216514123,0.00024643,0.000700223,0.000218937,0.0,6.88e-05,0.000168969,0.0,0.000430212,0.000186083,0.000224065,0.0,0.000220577,0.0,0.000192686,0.000682098,0.000189261,8.39e-05,0.000137445,0.001256715,5.27e-05,0.000884657,0.000283162,1.97e-05,0.000423862,4.01e-05,0.000790113,0.0,0.000353872,0.0,0.000235576,3.34e-05,0.000204473,0.0,0.0,0.0,0.0,0.0,0,1,0,0
ENSG00000280384,0.0,0.015655577,0.015655577,0.219490547,0.0,0.0,6.79e-05,8.69e-05,1.53e-05,8.45e-05,0.0,6.66e-05,0.0001724,0.0,0.0,1.85e-05,0.0,9.63e-06,9.98e-05,0.000171518,0.0,0.0,6.91e-05,0.0,4.52e-05,4.72e-05,0.0,3.93e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
ENSG00000280383,0.0,0.040413656,0.021331833,0.211853156,0.000182359,0.000398022,0.000226487,8.69e-05,1.78e-05,4.93e-05,1.69e-05,9.33e-05,0.000191556,0.000206139,5.14e-05,2.53e-05,0.0,2.41e-05,0.000116456,0.000208976,3.67e-05,0.000377974,0.001574346,4.52e-05,6.64e-05,0.000106186,9.84e-06,0.00015294,5.34e-06,0.000144181,2.89e-05,0.000112263,9.72e-05,0.0,1.78e-05,3.83e-05,0.0,0.0,0.0,0.0,0.0,0,0,1,0
ENSG00000280381,0.0,0.01114106,0.003414196,0.231797496,0.0,0.0,0.0,1.09e-05,2.55e-06,6.34e-05,0.0,9.52e-05,0.000101251,7.17e-05,0.0,2.36e-05,0.0,0.0,9.43e-05,0.0,0.0,1.72e-05,0.000524782,0.0,3.19e-05,0.0,0.0,2.4e-05,0.0,7.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
ENSG00000280378,0.0,0.01368301,0.002850627,0.221109416,0.0,0.000619145,0.000754956,0.000314914,6.12e-05,0.000176009,0.0,0.000188455,0.000363956,0.000322653,0.0,1.01e-05,0.0,1.45e-05,0.000377095,0.000408094,0.0,0.0,0.000441922,0.0,0.000326765,0.0,0.0,0.000196637,5.34e-06,0.00046138,0.0,0.0,0.000274466,0.0,8.47e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
ENSG00000280372,0.0,0.03480589,0.051539491,0.352202307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
ENSG00000280355,0.0,0.0,0.281471004,0.221250464,0.002651592,0.001768985,0.001260777,0.001259658,0.000359482,0.00152776,0.000937054,0.001623763,0.002394446,0.002133094,0.000866701,0.000734135,0.000365158,0.000659948,0.001702472,0.001762493,0.0,0.003092518,0.012691442,0.0018598,0.002146556,0.003350756,0.000554389,0.000991925,0.000382065,0.003766011,0.001391545,0.000500301,0.0,0.000697666,0.001328628,0.003348243,0.0,0.0,0.0,0.0,0.0,1,0,0,0
ENSG00000280327,0.0,0.0,0.0,0.225297913,0.000187287,0.000250606,0.000369929,0.00024433,5.86e-05,0.000464664,0.000259665,0.000327418,0.000186083,0.000448129,8.99e-05,7.91e-05,9.85e-05,0.000149331,0.000316094,0.000124203,0.000141577,0.000292071,0.001712447,0.0,0.000714633,0.00037755,0.000121375,0.000485038,0.000168322,0.001020802,0.000218534,0.0,0.00040884,0.000280879,0.000477058,0.000230032,0.0,0.0,0.0,0.0,0.0,0,1,0,0
ENSG00000280325,0.0,0.0,0.0,0.231271821,3.45e-05,0.0,0.0,0.001455122,0.00036968,0.0,0.002365214,0.0,0.000202502,0.002249608,0.005951349,6.23e-05,0.0,0.0,0.0,9.27e-05,0.0,0.0,4.14e-05,0.0,0.0,0.0,1.64e-05,0.0,4.27e-05,0.0,5.78e-05,0.0,0.0,0.0,1.56e-05,0.000332268,0.0,0.0,0.0,0.0,0.0,0,0,0,1
ENSG00000280303,0.0,0.0,0.0,0.21613199,0.000453432,0.000405392,0.000626614,0.000977321,0.000152971,0.000873006,0.000383853,0.00024366,0.000210711,0.000457092,0.00030174,7.07e-05,0.0,9.63e-05,0.001070284,0.00033515,0.002191821,0.000730178,0.003397274,0.001084256,0.000401151,0.001463006,0.000278835,0.000277477,0.00024046,0.000340267,9.32e-05,0.000253811,0.000200132,0.00030806,0.0,0.000230032,0.0,0.0,0.0,0.0,0.0,1,0,0,0
ENSG00000280279,0.0,0.0,0.0,0.232757954,0.000152787,0.000184269,0.000838001,0.002991687,0.000405373,0.001246145,0.000208861,0.001003192,0.006682557,0.001801479,0.00019902,0.001064159,0.000121719,0.000144514,0.0,0.001048821,0.000120603,0.00079031,0.0,0.0,0.006407787,0.001109053,6.89e-05,0.001509736,0.000229773,0.0,0.0,0.000363634,0.0,0.000344303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
ENSG00000280277,0.0,0.0,0.0,0.216171894,2.46e-05,0.0,0.00017364,0.0,2.8e-05,1.41e-05,0.0,0.0,7.94e-05,0.000170289,1.28e-05,0.0,0.0,0.0,0.000133092,4.53e-05,2.1e-05,0.0,0.0,0.0,8.24e-05,0.0,0.0,1.97e-05,1.34e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
ENSG00000280248,0.0,0.094907407,0.087962963,0.237848994,9.36e-05,0.000221123,0.00018119,7.6e-05,1.02e-05,0.000211211,3.95e-05,0.000152287,0.000128616,0.000134439,0.0,0.0,0.0,2.89e-05,0.000327185,0.000232633,0.0,5.15e-05,0.001201475,0.0,0.000143458,8.26e-05,0.0,0.000126722,0.0,0.0,0.0,0.000151311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
ENSG00000280247,0.0,0.030421982,0.033366045,0.216026135,0.0,0.0,0.000332181,0.000130309,2.8e-05,3.52e-05,0.0,2.47e-05,7.11e-05,0.000259915,0.00027606,4.55e-05,0.0,0.0,0.0,7.29e-05,9.96e-05,0.0,0.000124291,0.0,7.97e-05,4.72e-05,3.61e-05,5.46e-05,0.000125574,0.0,0.000109267,0.0,0.0,0.0,0.0,0.00028115,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000280231,0.0,0.0,0.0,0.232015303,0.000167573,0.000250606,0.000392577,0.000711272,0.000124926,0.002274039,0.000620939,0.001092661,0.0,0.00031369,0.0,0.000683621,0.000382547,0.000496166,0.0,0.0,0.0,0.0,0.0,0.0,0.000329422,0.001498401,0.0,0.0,6.41e-05,0.0,0.0,0.0,0.000365955,0.0,0.0,0.000549521,0.0,0.0,0.0,0.0,0.0,0,0,1,0
ENSG00000280206,0.0,0.068104427,0.043132804,0.232012532,0.005046896,0.016797989,0.016503344,0.002682202,0.000456364,0.007441671,0.010256787,0.001694196,0.001833461,0.020371947,0.016531525,0.001025432,0.008352267,0.004648541,0.003404944,0.00166392,0.00677472,0.005265871,0.004046347,0.00168662,0.0025052,0.006512736,0.003418187,0.000703524,0.004157293,0.003546856,0.006790609,0.001386201,0.003136347,0.009241809,0.0,0.011910543,0.0,0.0,0.0,0.0,0.0,0,1,0,0
ENSG00000280202,0.0,0.0,0.0,0.258295178,0.000552004,0.009036566,0.00586601,0.000390928,9.18e-05,0.002450049,0.00117414,0.000515873,5.47e-05,1.79e-05,0.0,8.42e-06,1.16e-05,1.45e-05,1.66e-05,0.002635854,0.0,0.000128855,0.0,0.0,0.000688067,2.36e-05,0.0,0.0,0.000609166,0.006211323,0.002638472,0.000932269,0.0,0.004376268,0.0,0.004332268,0.0,0.0,0.0,0.0,0.0,0,1,0,0
ENSG00000280198,0.0,0.190271817,0.183118741,0.219395221,0.000483004,0.00219649,0.0,0.000770997,0.000252402,0.001006773,0.0,0.001673256,0.002993742,0.00222272,0.0,0.000523661,0.0,0.00023604,0.000671007,0.002809343,0.0,0.001623572,0.017345431,0.0,0.001920742,0.0,0.0,0.0,2.14e-05,0.001216889,0.0,0.002569841,0.001941276,0.0,0.0,0.000408946,0.0,0.0,0.0,0.0,0.0,0,0,1,0
ENSG00000280194,0.0,0.078901482,0.019180471,0.215518472,9.86e-06,0.000294831,0.000241586,0.0,6.37e-05,0.0,0.0,0.0,0.0,2.69e-05,0.0,0.0,0.0,0.0,8.32e-05,0.000112374,0.0,4.3e-05,0.0,0.0,3.72e-05,0.000165178,5.58e-05,2.4e-05,0.000141604,0.0,6.11e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
ENSG00000280187,0.0,0.0,0.0,0.215975147,0.001015293,0.000390651,0.000475622,0.000298626,9.18e-05,0.000443543,0.000530621,5.14e-05,9.3e-05,0.000779745,0.000622741,0.000161644,0.000457897,0.000399823,0.002467753,3.15e-05,0.0,0.001503307,0.000718123,0.000361419,0.000191277,0.000861286,0.000928356,0.00022941,0.000977872,0.001251492,0.001234072,0.0,0.0,0.002536967,0.000376742,0.00084345,0.0,0.0,0.0,0.0,0.0,1,0,0,0
ENSG00000280173,0.0,0.055110692,0.009420631,0.215985677,0.001981301,0.002616624,0.00327651,0.0,0.000272798,0.002147313,0.001557993,0.000439729,0.000284597,0.001057585,0.000571381,0.000956396,0.00221993,0.001878685,0.002883666,0.000451466,0.002936411,0.00131432,0.001726257,0.001039078,0.000656187,0.002194509,0.000921795,0.000694784,0.000368706,0.000645931,0.000530265,0.000514944,0.0,0.002047695,0.0,0.002223642,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000280143,0.0,0.188356808,0.191924883,0.223585381,0.000128144,2.21e-05,0.0,0.001096771,0.000293195,0.001351751,0.000756417,0.000399754,0.000240813,0.000286803,0.00014124,0.000242467,0.000382547,0.0,0.000138638,0.000106459,1.57e-05,0.000893394,0.005551643,0.030223628,8.5e-05,0.041742865,0.000993964,0.001470408,0.0,8.65e-05,3.21e-05,0.0,0.0,0.0,0.0,5.11e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000280129,0.0,0.363300493,0.331896552,0.216791786,0.000349931,0.000832897,0.000905948,0.000608111,0.000137674,0.000161928,0.0,0.000253178,0.001138388,0.000842483,0.00029532,8.42e-05,0.0,0.00010116,0.000393731,0.000514553,0.0,0.000369384,0.001740067,0.0,0.001245959,0.000247767,3.28e-05,0.0,0.000114887,0.001182285,0.000183183,0.00212323,0.0,0.0,0.0,0.000370607,0.0,0.0,0.0,0.0,0.0,0,0,1,0
ENSG00000280128,0.0,0.0,0.0,0.227150661,0.001000508,0.003877026,0.001804346,0.001835191,0.000456364,0.001450316,0.000869315,0.001612341,0.003105938,0.004427515,0.001566482,0.000789701,0.000550635,0.000838183,0.004719231,0.0,0.000220231,0.0002663,0.002057698,0.000662601,0.003129508,0.002831625,0.001164545,0.002442669,0.000462218,0.001101544,0.000276381,0.001227569,0.003868256,0.001621847,0.001266209,0.000587859,0.0,0.0,0.0,0.0,0.0,1,0,0,0
ENSG00000280120,0.0,0.142450143,0.064577398,0.24106484,0.008437779,0.010864518,0.00586601,0.0,0.00089743,0.005322519,0.003894982,0.003474053,0.002936275,0.007680932,0.002388244,0.000804855,0.0,0.001459594,0.005539967,0.003329811,0.004897514,0.006949575,0.027716783,0.000496951,0.012634924,0.003303562,0.001797664,0.00478265,0.000686648,0.012722544,0.002882715,0.008353813,0.02673757,0.007012902,0.013618439,0.021392971,0.0,0.0,0.0,0.0,0.0,0,0,1,0
ENSG00000280081,0.0,0.112727273,0.067474747,0.412015098,0.0,9.58e-05,0.000362379,0.0,0.0,0.0,0.0,0.0,0.0,1.79e-05,0.0,0.0,0.0,0.0,0.0,0.000270091,0.0,0.0,0.0,0.0,7.97e-06,0.0,0.0,0.0,0.0,0.001418742,0.001176225,0.0,0.0,0.000652363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
ENSG00000280078,0.0,0.04783715,0.050890585,0.222829429,4.44e-05,8.11e-05,0.0,0.0,2.55e-06,0.0,0.0,0.0,6.02e-05,1.79e-05,1.28e-05,0.0,0.0,0.0,0.0,8.48e-05,0.0,0.0,0.000234771,0.0,7.97e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.11e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
ENSG00000280069,0.0,0.068322981,0.0,0.224016008,0.000330217,0.001724761,0.000890848,0.000418076,0.000122377,0.000232332,1.13e-05,0.000496837,0.000396794,0.00059153,2.57e-05,5.56e-05,0.0,4.34e-05,0.000582279,0.000749158,0.0,2.58e-05,0.0,0.0,0.000215187,0.000141581,9.84e-06,0.000340838,0.0,0.001914726,0.0,0.0,0.000454584,0.0,0.000113691,1.28e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0
