ID,gene_length,Length_ExonProj,Distance_closest_pc,K562_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,keratinocyte_nucleus,keratinocyte_cytosol,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,HeLa.S3_cell,K562_nucleus,A549_cytosol,A549_nucleus,MCF.7_nucleus,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,NCI.H460_nucleus,min_exp,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_6,genomic_classification_is_8,with_repeat_Alu,with_repeat_L2
ENSG00000280587,0.005646602,0.0,0.225679491,0.0,6.04e-06,0.0,0.000116119,0.010190762,0.000365384,5.22e-05,0.000597355,0.0,0.000597597,0.000395304,0.0,0.000403745,0.003259173,0.002898381,1.64e-05,0.000209746,0.000176338,0.000155716,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,1
ENSG00000280441,0.019472771,0.0,0.368563078,0.0,0.000698217,0.000920119,0.000245563,0.000840108,0.000316554,0.000765093,0.001109937,0.00210268,0.00080404,0.00064093,0.0,0.000549781,0.001753877,0.005778166,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,0.001188521,4.57e-05,0.000651808,0.0,1,0,0,0,1,0
ENSG00000280422,0.001292847,0.0,0.216339822,0.0,0.00010262,5.08e-05,5.71e-05,0.000262705,5.05e-05,0.0,0.0,0.0,1.93e-05,1.54e-05,0.0,0.0,0.000193341,3.19e-05,2.95e-05,0.000404198,8.02e-06,0.000311431,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1
ENSG00000280401,0.001080627,0.0,0.219585041,8.59e-06,0.000189142,7.34e-05,0.000127541,0.000199765,4.38e-05,0.0,0.0,0.0,2.9e-05,0.0,0.0,0.000103084,0.001049564,0.00019659,2.95e-05,0.000391089,0.0,9.23e-05,0.0,0.0,0.000443148,0.0,0.0,0,0,0,0,1,1
ENSG00000280383,0.015001188,0.0,0.211853156,9.88e-05,5.43e-05,1.69e-05,9.33e-05,0.000191556,2.53e-05,0.0,0.000208976,3.67e-05,0.000113483,0.000153516,7.31e-05,0.000377974,0.001574346,6.64e-05,9.84e-06,0.00015294,5.34e-06,0.000144181,2.89e-05,0.000112263,9.72e-05,0.0,0.0,0,0,0,1,1,1
ENSG00000280355,0.001337113,0.0,0.221250464,0.000863042,0.000664011,0.000937054,0.001623763,0.002394446,0.000734135,0.000365158,0.001762493,0.0,0.00113966,0.001600405,0.001058433,0.003092518,0.012691442,0.002146556,0.000554389,0.000991925,0.000382065,0.003766011,0.001391545,0.000500301,0.0,0.003049396,0.0,1,0,0,0,1,0
ENSG00000280303,0.001259647,0.0,0.21613199,6.44e-05,0.000599622,0.000383853,0.00024366,0.000210711,7.07e-05,0.0,0.00033515,0.002191821,0.001490975,0.00124348,4.06e-05,0.000730178,0.003397274,0.000401151,0.000278835,0.000277477,0.00024046,0.000340267,9.32e-05,0.000253811,0.000200132,0.0,0.0,1,0,0,0,0,0
ENSG00000280302,0.002112431,0.0,0.216456207,0.0,1.41e-05,7.34e-05,7.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31e-05,0.0,0.00029413,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0
ENSG00000280152,0.002614337,0.0,0.220929849,0.0,0.000921566,0.000208861,0.003135214,0.005694677,0.000457993,0.0,0.000254319,0.0,0.001132417,0.000284005,0.00022468,0.000188987,0.004225877,0.001094531,6.56e-06,0.000943858,2.4e-05,0.000726673,0.0,0.000234287,0.0,6.1e-05,0.0,0,0,0,1,1,1
ENSG00000280143,0.003422854,0.0,0.223585381,3.43e-05,0.000700229,0.000756417,0.000399754,0.000240813,0.000242467,0.000382547,0.000106459,1.57e-05,3.62e-05,1.92e-05,4.47e-05,0.000893394,0.005551643,8.5e-05,0.000993964,0.001470408,0.0,8.65e-05,3.21e-05,0.0,0.0,0.0,0.0,0,0,0,0,1,1
ENSG00000280038,0.002136517,0.0,0.216667364,0.000519543,2.01e-05,0.0,5.9e-05,7.94e-05,3.54e-05,0.0,9.86e-06,0.0,6.04e-06,0.0,0.0,0.000128855,0.001450056,2.13e-05,3.28e-05,0.000480668,0.0,0.000126879,0.0,0.0,5.43e-05,0.0,0.0,1,0,0,0,0,0
ENSG00000279881,0.001842925,0.0,0.293469131,0.0,0.0,0.000440302,0.000239852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84e-06,0.0,5.34e-06,0.000196086,0.000112481,0.0,0.0,0.0,0.0,0,1,0,0,0,1
ENSG00000279822,0.001247929,0.0,0.216007845,0.0,8.65e-05,0.000451592,0.000287442,0.0,4.55e-05,0.000121719,0.0,0.0,0.0,0.0,0.000322132,0.000335023,0.000773363,0.0,0.000298517,0.000524366,0.0,0.001522553,0.000848424,0.0,0.000185836,0.0,0.0,0,1,0,0,0,0
ENSG00000279821,0.001925599,0.0,0.216566497,0.0,0.000402431,0.000513686,0.001757014,0.000454261,0.000527028,0.000156496,0.000173489,0.00046668,0.001158977,0.000525793,0.000351909,0.001022249,0.007692201,0.000528669,0.000341163,0.002610903,7.48e-05,0.00355839,0.000363151,0.0,0.001392344,0.0,0.0,0,0,0,0,1,1
ENSG00000279792,0.001430855,0.0,0.221252681,0.000236156,0.000164997,0.0,0.000357875,0.001297106,9.26e-05,0.0,0.000512582,0.000199256,0.000288537,0.000134327,0.000374918,0.000429516,0.003783955,0.000156741,4.59e-05,0.000308065,3.47e-05,0.000421009,0.0,0.0,0.000557509,0.000270634,0.0,0,0,0,0,1,0
ENSG00000279759,0.003057654,0.0,0.217995269,0.000558187,0.000464807,0.000118543,0.001482897,0.000919467,0.001023748,0.0,0.000753101,0.0,0.000357351,0.000464386,0.001177541,0.000876213,0.008465565,0.002032321,3.28e-05,0.001090243,3.47e-05,0.002468381,6.43e-06,0.002704068,0.000737628,0.000522209,0.0,0,0,0,1,1,1
ENSG00000279748,0.001586439,0.0,0.22763089,0.0,6.24e-05,2.26e-05,7.04e-05,0.000202502,1.01e-05,0.0,0.00081816,0.0,6.76e-05,2.69e-05,0.0,0.0,0.000814793,0.000951073,0.0,0.00060739,0.000136261,0.000126879,8.03e-05,2.68e-05,0.0,5.72e-06,0.0,0,0,0,0,0,0
ENSG00000279742,0.001509623,0.0,0.215992327,0.000279093,6.24e-05,2.82e-05,0.0,0.000161454,5.05e-06,0.0,5.72e-05,0.0,3.86e-05,6.91e-05,9.61e-05,0.000214758,0.0,0.002114676,0.0,9.18e-05,0.000243132,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0
ENSG00000279738,0.012595165,0.0,0.223508068,0.000120225,9.46e-05,9.03e-05,0.00022272,0.000218921,9.26e-05,6.96e-05,0.000185318,0.000115359,0.000112276,0.000203409,0.000154298,0.000111674,0.0,0.000185964,5.25e-05,0.000176973,1.87e-05,0.00039794,7.07e-05,0.000236728,0.000162964,5.34e-05,0.0,0,0,0,1,1,1
ENSG00000279692,0.000955639,0.0,0.216411316,0.0,0.000185118,0.000491106,5.71e-05,0.00138741,3.37e-06,0.0,0.0,0.0,0.000488943,0.0,4.06e-06,0.001872691,0.003010592,0.000398494,0.000705288,0.001101168,0.000844283,0.0,0.0,0.0,0.002355834,0.0,0.0,0,0,0,0,0,0
ENSG00000279689,0.002298611,0.0,0.21610705,0.000347793,0.000116705,0.000107253,5.71e-05,0.000481626,0.0,6.38e-05,0.000609184,0.000298885,0.000478078,0.0,0.000319425,0.000240529,0.000510972,0.000613681,4.59e-05,0.000102688,0.000307255,0.000236457,0.000170328,0.0,5.43e-05,0.0,0.0,0,0,0,0,0,0
ENSG00000279660,0.000820886,0.0,0.217282545,0.0,0.0,0.000152412,9.71e-05,0.0,5.05e-06,0.0,0.0,0.0,0.0,2.69e-05,0.0,0.00025771,0.000593832,0.0,0.0,0.000161679,6.95e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279631,0.001594902,0.0,0.22760124,0.0,1.61e-05,5.08e-05,0.0,0.0,5.05e-06,1.16e-05,9.07e-05,0.0,0.000134007,5.76e-05,0.0,0.0,0.0,0.000401151,5.58e-05,4.37e-05,0.000125574,0.0,0.000122122,0.0,0.0,0.0,0.0,1,0,0,0,0,0
ENSG00000279611,0.000558541,0.0,0.216698123,0.0,0.000245483,0.0,0.000180841,0.0,0.000249202,0.0,0.001040936,0.0,0.0,0.0,0.000569821,0.000180397,0.002927732,0.002502544,6.89e-05,0.00289275,0.000109543,0.002341502,0.000106053,0.002140314,0.0,0.002997938,0.0,0,0,0,0,0,0
ENSG00000279561,0.002613035,0.0,0.235527655,3.86e-05,1.01e-05,0.000107253,0.000104697,0.000675918,4.88e-05,4.06e-05,0.00424063,3.15e-05,0.0,0.000241788,1.49e-05,0.000541191,0.001146235,0.001981845,0.000600315,0.000332098,0.000975201,0.000916992,0.000376006,0.00207442,0.00654716,0.0,0.0,0,0,0,0,0,0
ENSG00000279520,0.000829349,0.0,0.216694798,0.001163605,0.001309912,0.000406433,0.002897265,0.004364733,0.001060792,0.0,0.003615674,0.0,0.001476488,0.000356925,0.002494491,0.001340091,0.018298325,0.004091207,7.54e-05,0.0,0.000106871,0.002301131,0.000160686,0.002462459,0.0,0.0,0.0,0,0,1,0,1,0
ENSG00000279495,0.001583835,0.0,0.235305968,0.000888805,0.000975894,0.001281393,0.00086423,0.00087842,0.000284562,0.000579616,0.000559897,0.000125846,0.000108654,9.21e-05,0.0,0.00079031,0.001684827,0.000972326,0.000495342,0.000581172,0.00051031,0.002168484,0.001925024,0.0,0.000162964,0.000379269,0.0,0,0,1,0,1,0
ENSG00000279491,0.001060447,0.0,0.215985677,0.000257625,9.66e-05,0.0,4e-05,0.000207975,2.53e-05,0.0,0.0,0.000104872,0.000206443,0.000149678,0.000330253,0.000300661,0.000483352,0.000539296,2.95e-05,0.0,8.28e-05,0.000242224,2.89e-05,0.0,0.0,2.1e-05,0.0,1,0,0,0,1,1
ENSG00000279393,0.001020086,0.0,0.216088484,5.15e-05,0.00039237,0.000468527,0.000188455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
ENSG00000279369,0.001143121,0.0,0.216038882,0.0,0.000235422,0.002658749,0.000327418,6.84e-05,5.05e-06,0.0,0.001064593,0.0,0.0,0.0,0.0,0.000386565,0.0,0.0,0.00208306,0.000399829,4.54e-05,0.000201854,0.000208892,0.0,0.002884753,0.0,0.0,0,0,0,0,1,0
ENSG00000279329,0.001169811,0.0,0.215953532,0.0,0.00031792,0.000349984,0.000220817,5.47e-05,0.000324973,0.000689743,0.000897018,0.002060731,0.001330409,0.001289535,4.06e-06,0.001494717,0.001491486,0.000496789,0.00039693,0.000364871,0.000288552,0.001684036,0.001455819,0.0,0.000949195,0.000356398,0.0,0,0,0,0,0,0
ENSG00000279266,0.002387795,0.0,0.218756209,0.0,2.01e-06,2.82e-05,5.71e-05,1.37e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84e-06,0.000144201,0.0,1.15e-05,0.0,0.000129346,0.0,0.0,0.0,0,1,0,0,1,0
ENSG00000279259,0.000832604,0.0,0.215967111,0.001391173,0.000235422,0.0,0.000213202,0.000645816,7.07e-05,0.0,0.000524411,0.001069693,0.001530815,0.000610226,0.00061584,0.001237007,0.003797766,0.000741199,0.000223068,0.001035622,0.000162979,0.00096313,0.000298877,0.002176921,0.002616005,0.001109218,0.0,1,0,0,0,1,0
ENSG00000279253,0.000906815,0.0,0.22634954,0.000128812,6.64e-05,0.000225796,0.000369297,0.000730648,0.000476514,0.0,0.000457381,0.0,0.000329584,0.000241788,0.000154298,0.000446697,0.003521564,0.002696478,0.000337882,0.001577466,0.000216414,0.001216889,0.0,0.0,0.000660434,0.0,0.0,0,0,0,0,0,1
ENSG00000279227,0.000932204,0.0,0.215959906,0.00066553,7.85e-05,0.000643519,6.85e-05,0.000738858,0.000245834,0.000370954,0.000126174,0.00054009,0.0,0.000284005,0.00022062,0.001786788,0.0,2.92e-05,0.001033329,0.000288401,0.000285881,0.0,0.000674883,0.000351431,0.0,0.00036021,0.0,1,0,0,0,1,0
ENSG00000279199,0.001406117,0.0,0.217848401,0.0,0.000146887,0.0,0.000102794,0.000199765,0.0,0.0,4.53e-05,5.77e-05,0.0,0.000222598,0.0,0.000128855,0.000731933,0.000382554,9.84e-06,0.000209746,8.02e-06,0.00029413,0.0,0.0,0.0,9.15e-05,0.0,1,0,0,0,1,0
ENSG00000279198,0.001975725,0.0,0.218823546,0.000678411,0.000593585,0.000152412,0.000287442,0.000415949,4.04e-05,0.0,0.000820131,0.000178282,0.000321133,0.000214923,0.0,0.000704407,0.002844872,0.002614122,9.51e-05,0.000819321,0.000283209,0.000519052,6.43e-05,0.0,0.000746205,7.62e-05,0.0,0,0,0,0,1,1
ENSG00000279191,0.002156046,0.0,0.258342286,0.000133106,0.000116705,0.000186282,0.002282405,0.000788115,0.000415898,6.38e-05,9.66e-05,3.15e-05,9.78e-05,5.37e-05,0.000721413,0.000300661,0.005316872,0.000799645,3.61e-05,0.000852094,2.94e-05,0.000657466,0.000115694,0.0,0.0,0.0,0.0,0,0,0,0,1,0
ENSG00000279170,0.001445176,0.0,0.220612837,0.0,0.0,0.000163702,7.61e-05,8.21e-06,5.05e-06,1.16e-05,0.0,0.0,0.0,0.0,2.71e-06,6.01e-05,0.0,0.0,6.89e-05,5.03e-05,0.0,3.46e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
ENSG00000279117,0.001477725,0.0,0.216424063,0.004705943,0.000434625,0.034772595,0.009752095,0.004898352,0.000127969,0.00037675,0.000770844,0.00392745,0.000714702,0.001769273,0.000878418,0.00130573,0.00241676,0.003708653,0.000567511,0.000349577,0.002695828,0.00039794,0.0,0.001286141,0.004331418,0.000121976,0.0,0,1,0,0,0,0
ENSG00000279092,0.003096062,0.0,0.220712873,0.000429374,5.23e-05,5.08e-05,0.000127541,0.000268178,0.000220577,8.11e-05,0.000624956,6.82e-05,0.0,0.000299356,0.00105708,2.58e-05,0.000124291,1.59e-05,5.25e-05,0.00022067,0.0,0.001101544,0.000183183,0.000424646,0.000360237,0.0,0.0,0,0,1,0,1,0
ENSG00000279086,0.001438666,0.0,0.216230918,6.01e-05,4.02e-06,0.000615294,0.001083143,0.0,0.000144806,0.0,3.75e-05,0.0,1.93e-05,0.0,0.0,0.000214758,0.000787173,1.86e-05,1.64e-05,0.000104873,8.02e-06,0.00039794,0.000224961,0.000161073,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279069,0.000941317,0.0,0.216135038,0.0,0.000416516,0.000502396,0.000165612,0.001929239,0.000153225,0.000324585,0.00076493,0.0,0.001395601,0.0,0.0,0.002233485,0.00234771,0.00136285,0.001610681,0.001942337,0.001958416,0.000357569,0.000475632,0.003319073,0.0,0.0012655,0.0,0,0,0,0,0,0
ENSG00000279010,0.035458892,0.0,0.214769447,3.01e-05,5.23e-05,3.39e-05,4.76e-05,9.3e-05,0.000122917,0.000202866,0.000102516,0.0,5.31e-05,4.99e-05,6.23e-05,1.72e-05,0.0,5.58e-05,1.31e-05,4.15e-05,5.34e-06,0.000219155,0.0,0.000241609,0.000137233,2.29e-05,0.0,0,0,0,1,1,1
ENSG00000278997,0.000841066,0.0,0.216550424,0.0,5.43e-05,0.000383853,0.000354068,0.0,0.000242467,8.11e-05,7.89e-05,0.0,2.17e-05,2.69e-05,0.0,5.15e-05,0.000317631,0.00047288,0.000127936,0.000721003,0.000114887,0.000467147,0.000109267,0.0,0.0,0.0,0.0,0,1,0,0,0,0
ENSG00000278996,0.019502716,0.0,0.317839728,0.0,0.000698217,0.000920119,0.000245563,0.000840108,0.000316554,0.000765093,0.001109937,0.00210268,0.00080404,0.00064093,0.0,0.000549781,0.001753877,0.005778166,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,0.001188521,4.57e-05,0.000651808,0.0,1,0,0,0,1,0
ENSG00000278970,0.001031153,0.0,0.219911752,0.016196001,0.000975894,0.015828305,0.001461958,0.0,0.000604483,0.005888899,0.003329811,0.0,0.001715527,0.0,0.001532156,0.037694356,0.022551822,0.004221382,0.006554258,0.001570912,0.011325685,0.002872088,0.00752334,0.001376439,0.0,0.007669232,0.0,0,0,0,0,1,0
ENSG00000278962,0.00143476,0.0,0.215989556,0.0,1.81e-05,0.00028789,4e-05,8.21e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58e-05,4.14e-05,1.59e-05,0.000328041,5.68e-05,2.14e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
ENSG00000278948,0.001159396,0.0,0.218891438,0.000334912,0.000561391,0.004273191,0.001781761,0.000949569,0.009861996,0.022390568,0.000364722,0.001206026,0.000376667,0.000825149,0.000163773,0.001623572,0.00487495,0.000674784,0.001666448,0.001540324,0.000235117,0.004769512,0.003551171,0.00241609,0.001978443,0.00020774,0.0,0,0,0,0,1,0
ENSG00000278934,0.002049937,0.0,0.216095689,0.0,4.83e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72e-05,0.000341163,0.000480668,1.6e-05,0.0,6.43e-06,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000278916,0.001571466,0.0,0.215952701,0.000725643,7.65e-05,0.000101608,1.33e-05,0.0,1.52e-05,4.06e-05,0.000203061,0.000115359,0.00014125,0.0,0.000215206,0.000240529,0.000262391,0.000138145,0.000108254,2.62e-05,0.000181681,0.000490216,0.00043064,0.000649172,0.000920605,0.0,0.0,1,0,0,0,1,0
ENSG00000278864,0.001097553,0.0,0.254455283,0.0002061,0.000881323,0.000338694,0.00480847,0.00284597,0.002431402,6.38e-05,0.002781743,0.0,0.001947322,0.001001693,0.000644264,0.001623572,0.026598169,0.003902587,0.0,0.0025104,6.15e-05,0.02169061,0.000494914,0.005986533,0.0,0.00251194,0.0,0,0,1,0,1,0
ENSG00000278266,0.001865058,0.0,0.525568121,0.002451728,2.01e-06,0.0,0.0,0.0,1.85e-05,1.16e-05,1.97e-05,0.001143103,9.42e-05,0.001370131,0.000606366,0.00027489,0.000193341,0.0,3.28e-05,0.0,0.0,0.015202459,0.010727428,0.0,6.86e-05,0.0,0.0,0,0,0,0,1,1
ENSG00000278200,0.000637961,0.0,0.219880993,0.001017617,0.000156948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000263184,4.22e-05,0.000365444,0.000395155,0.0,7.7e-05,0.0,6.55e-05,0.0,0.0,0.0,0.0,0.00622409,0.0,0.0,0,0,0,0,0,0
ENSG00000278175,0.001715333,0.0,0.33045593,0.0,0.000376273,0.003149855,0.00088517,0.0,0.000259305,0.000863628,0.00091279,0.002480219,0.000692971,0.001093802,8.12e-06,0.012198265,0.012000939,0.004752708,0.001961685,0.001437635,0.003796603,0.001141915,0.000883775,0.002401447,0.001418075,0.001789615,0.0,1,0,0,0,0,1
ENSG00000278000,0.000386682,0.0,0.23972308,0.000184631,0.002169101,0.000321759,0.001153576,0.006983573,0.001554144,0.0,0.00057764,0.0,0.003041106,0.0,0.000429058,0.0,0.010633743,0.003262339,0.0,0.003847532,0.00012023,0.003235425,0.0,0.0,0.002450182,0.0,0.0,0,0,0,0,0,0
ENSG00000277969,0.001450384,0.0,0.216168846,0.005281305,3.22e-05,0.000756417,9.52e-05,0.001543391,0.000106079,0.00042312,0.004339203,0.0,0.001251936,0.0,0.000848641,0.00262005,0.002251039,0.000215187,0.000852906,0.00029714,0.000694663,0.000495983,0.000623463,0.0,0.001269406,0.0,0.0,0,0,0,0,0,1
ENSG00000277639,0.000705012,0.0,0.218946028,0.0,0.001354179,0.000496751,0.000213202,0.000259968,0.000439471,0.000892609,0.000311492,8.39e-05,3.26e-05,0.000149678,8.12e-06,0.00104802,0.000939084,0.000209874,0.001056292,0.001254108,0.000138933,0.002497217,0.001455819,0.000800482,0.0,0.0,0.0,1,0,0,0,0,0
ENSG00000277386,0.000281874,0.0,0.219804234,0.0,0.0,0.0,0.000178938,0.0,2.19e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000611024,0.0,0.0,0.00026985,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0
ENSG00000277369,0.000481725,0.0,0.216004243,0.000339206,0.000197191,0.000254021,0.000289346,0.000883893,4.04e-05,2.9e-05,0.000587498,6.82e-05,0.000264392,8.83e-05,0.000249043,0.000575552,0.000635263,0.000568518,0.000190264,0.000183528,0.000475577,0.001216889,0.000752013,0.0,0.0,0.0,0.0,1,0,0,0,0,1
ENSG00000277283,0.001318886,0.0,0.216113701,0.005015093,0.000794801,0.001766854,0.000574884,0.001412039,0.00032834,0.000585412,0.001283426,0.00210268,0.002019758,0.002076305,0.002028889,0.006769178,0.007678391,0.002414875,0.001879675,0.001795952,0.002124067,0.004094744,0.00246493,0.003499669,0.002141407,0.00219366,0.0,0,0,0,0,1,0
ENSG00000277182,0.00132149,0.0,0.21607546,0.000790049,6.84e-05,0.000124188,0.000197973,0.000602032,2.02e-05,2.9e-05,0.000812245,0.0,0.000237832,0.0,0.000384393,0.000609913,0.000939084,0.000175337,0.000226348,0.000541844,0.000235117,0.000432543,0.000369579,0.0,0.0,0.0,0.0,0,0,0,0,0,1
ENSG00000277147,0.047600975,0.0,0.222268007,0.000863042,0.001034247,0.0,3.62e-05,0.0,0.001232539,0.005158583,0.00300649,0.0,0.000539648,0.001523647,0.000307243,0.002319388,0.001505296,0.003692713,0.000121375,5.03e-05,0.008624513,0.002237691,0.002429579,0.0,0.0,0.000404045,0.0,0,0,0,0,1,0
ENSG00000277142,0.001422392,0.0,0.216034448,0.0,0.000195179,0.0,0.000125637,0.000492572,0.0,2.32e-05,0.000427809,0.000450949,0.001196402,0.0,0.000378979,0.000747358,0.001643397,0.001333627,0.000167301,0.001009404,0.000480921,0.002180019,0.000453136,0.0,0.0,0.002409023,0.0,1,0,0,0,1,0
ENSG00000276791,0.002071419,0.0,0.215954641,0.001348235,0.000949736,0.000361274,0.000251274,0.000667708,1.85e-05,5.22e-05,0.000863503,0.000755077,0.001822974,0.0,0.00080533,0.000627094,0.001242905,0.000600398,7.54e-05,0.000222855,0.000478249,0.002001234,0.000488487,0.000646731,0.003788204,0.001166394,0.0,1,0,0,0,1,0
ENSG00000276728,0.00108909,0.0,0.215957412,0.000257625,5.23e-05,0.000231441,0.000304575,0.00039953,7.24e-05,0.0,0.000463295,0.0,0.000558965,0.0,0.000178661,0.000429516,0.000607642,0.00070135,0.000265713,0.000784363,0.000472905,0.0,0.000212106,0.000461253,0.0,0.0,0.0,1,0,0,0,0,0
ENSG00000276727,0.00041207,0.0,0.216190183,0.0,6.84e-05,0.000107253,0.000409272,0.000498045,0.0,0.0,0.0,0.0,0.000513089,0.0,3.93e-05,0.0,0.0,3.72e-05,0.0,9.18e-05,0.0,0.000213388,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000276116,0.000945874,0.0,0.216530195,0.0,0.000126766,0.000282245,0.0,0.000145035,0.0,2.9e-05,0.000167575,0.0,0.000100203,7.29e-05,1.89e-05,0.000704407,0.000814793,0.002608809,0.001869833,0.000963522,0.005364939,0.005253961,0.005569392,0.0,0.0,0.0,0.0,0,0,0,0,0,1
