ID,gene_length,GC_content,repeat_coverage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,K562_nucleus,MCF.7_cell,IMR.90_cytosol,MCF.7_nucleus,IMR.90_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_cytosol,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,Tau_exp,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_5,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,DISEASE_DB_is_1,with_repeat_ERV1
ENSG00000282057,0.062430304,0.327107791,0.0,0.084577114,0.412935323,0.31840796,0.215979858,9.02e-05,0.0,0.0,0.000228042,2.04e-05,5.63e-05,0.001800724,0.004330669,0.0,0.0,1.93e-05,8.13e-05,8.08e-05,0.000162292,0.0,0.00097601,0.0,0.0,0.000123168,0.0,0.001671561,0.000207217,0.0,0.00444801,0.000770896,0.000810582,4.81e-05,0.001526521,0.0,0.0,5.11e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
ENSG00000282021,0.001413929,0.450017787,0.0,0.0,0.0,0.0,0.217242642,6.01e-05,0.0,2.26e-05,0.000146598,2.8e-05,1.21e-05,0.0,0.0,4.1e-05,5.38e-05,1.93e-05,1.06e-05,1.01e-05,4.06e-05,1.93e-05,0.000282821,9.86e-06,0.0,4.06e-06,0.000107484,0.0,0.000103608,0.0,0.0,0.0,6.55e-05,5.08e-05,8.68e-05,0.0,4.24e-05,0.00028115,3.81e-06,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1
ENSG00000281912,0.00106891,0.637851298,0.0,0.0,0.0,0.0,0.216585894,0.00056248,0.000538066,0.00120793,0.0,0.000165719,0.000227373,4.52e-05,0.0,0.000396794,0.000663231,0.000398041,0.000392461,0.0,0.0,0.0,0.000881736,0.000678185,0.0,0.000707878,0.000252353,0.000150591,0.000374585,3.9e-05,0.000212372,0.00015746,0.000533105,0.000325957,0.0,0.0,0.000251904,8.95e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1
ENSG00000281903,0.064307731,0.302383493,0.0,0.47761194,0.68159204,0.223880597,0.227776372,0.0,0.001282514,0.0,8.14e-05,3.57e-05,8.25e-05,0.000220151,0.0,0.000719702,0.00305624,0.001547222,0.000190927,0.0,0.00057382,0.000467263,0.005429056,0.0,9.44e-05,0.0,0.000733693,0.000316241,0.0,0.0,0.00113265,9.84e-06,0.0,0.000288552,0.000131763,0.001685271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
ENSG00000281849,0.012063965,0.527214514,0.0,0.039800995,0.0,0.174129353,0.215955472,0.0,0.0,0.00051337,0.001031616,0.000206511,0.000468832,6.21e-05,0.000213202,0.000232603,0.000233027,0.0,0.0,0.0,0.0,0.0,0.0,0.000291777,0.0,0.0,0.0,0.0,0.0,0.0,0.00060172,0.000150899,0.0,0.000168322,0.0,0.0,0.0,0.000523962,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
ENSG00000281832,0.001300007,0.706688011,0.0,0.253731343,0.099502488,0.338308458,0.216211243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.49e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028115,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
ENSG00000281706,0.010493801,0.382781928,0.0,0.0,0.0,0.0,0.2428896,0.0,0.002926196,0.004091863,0.001493129,0.000813296,0.000513099,0.0,0.0,0.001699373,0.002572261,0.001861803,0.001474379,0.000644894,0.000608597,0.00077556,0.001857747,0.001571261,0.0,0.001113926,0.002088922,0.0,0.00226876,0.0,0.0,0.000373967,0.000753775,0.000700007,0.0,0.0,0.0,0.000945687,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000281649,0.006889324,0.312522234,0.0,0.422885572,0.014925373,0.069651741,0.224270671,0.009132793,0.045514517,0.033655951,0.013177541,0.004216903,0.002652018,0.006152943,0.003135214,0.006800227,0.018937934,0.008898134,0.010826253,0.004719682,0.010977928,0.009682454,0.01879374,0.011600123,0.017891133,0.003969801,0.01517389,0.00523304,0.009858747,0.0,0.025472822,0.00937541,0.003948035,0.005856547,0.02057108,0.033469846,0.014398673,0.025955272,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000281501,0.026515726,0.348452508,0.0,0.064676617,0.0,0.0,0.215942448,0.002404496,0.005601787,0.006688913,0.0,0.00031614,0.000136826,0.003855468,0.000262696,0.000637607,0.0,0.002824804,0.00314322,0.000215526,0.004312344,0.003844079,0.00145847,0.000897018,0.0,0.000448007,0.005677942,0.0,0.001291121,0.0,0.0,0.002112584,0.000231595,0.009813456,0.000800219,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1
ENSG00000281491,0.002540125,0.585378869,0.0,0.651741294,0.796019901,0.164179105,0.216021147,3.43e-05,0.0,0.0,0.0,1.53e-05,1.41e-05,0.0,8.76e-05,0.0,0.0,0.0,3.18e-05,7.24e-05,0.0,1.93e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000122205,5.74e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
ENSG00000281404,0.013945949,0.316079687,0.0,0.0,0.0,0.0,0.223848357,0.0,0.001533121,0.000845551,0.0,7.39e-05,0.000116705,0.000366919,0.001943566,0.002194681,0.00253641,0.0,0.000749564,0.001155084,0.000365158,0.0,0.00200193,0.001050793,0.000351321,0.001073322,0.000387876,0.0,0.004726141,0.0,0.0,0.000203385,0.003170227,0.000138933,0.0,0.0,0.0,0.000166134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
ENSG00000281398,0.005907645,0.404838136,0.0,0.268656716,0.169154229,0.0,0.216045532,0.10462565,0.119222236,0.118286551,0.112147554,0.041215508,0.032345366,0.015416227,0.008219705,0.018624685,0.06541788,0.01935633,0.093925348,0.010909317,0.003929797,0.022356353,0.010098377,0.026307281,0.0,0.05883372,0.008075295,0.008832166,0.010658392,0.0,0.014087332,0.014669991,0.047234409,0.002546208,0.023942281,0.026012975,0.011449386,0.092996805,0.148511323,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
ENSG00000281392,0.04418398,0.282106012,0.0,0.0,0.0,0.0,0.235402125,0.0,4.42e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17e-05,0.0,0.0,0.0,0.0,0.0,4.41e-05,0.000235969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000281357,0.038192358,0.311988616,0.0,0.567164179,0.776119403,0.631840796,0.216698954,0.0,0.00200485,0.00242341,0.0,0.00021161,0.000513099,0.000948344,0.000590113,0.000372165,0.000403316,0.00021186,0.000618744,0.000165012,0.000492674,0.000322748,0.001319832,0.001135566,0.000650205,0.00091767,0.000686961,0.000466832,0.001059995,6.36e-05,0.001085456,0.000764335,0.0,0.000325957,0.000629891,0.0,0.000405722,0.001086262,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
ENSG00000281332,0.001678227,0.471362504,0.0,0.0,0.0,0.0,0.245113674,0.00056248,0.000250606,0.0,0.00048866,6.63e-05,0.000197191,0.000485462,0.000295057,0.000965988,0.000950034,0.0002889,0.000523281,7.41e-05,7.54e-05,0.0,0.000743099,0.000230662,0.000382782,0.000366797,0.001051471,0.000293653,0.00136285,0.000108706,0.000401147,0.000357565,0.000758145,0.000537028,0.001185866,0.002908452,0.000285343,0.004434505,0.000278257,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
ENSG00000281207,0.019030105,0.514585557,0.0,0.0,0.0,0.0,0.21834498,0.000227568,0.000324314,0.000505821,0.000944743,0.000155521,0.000917542,5.08e-05,0.000896591,0.001551601,0.0,3.21e-05,0.00031114,0.001038902,5.8e-05,0.00037092,0.00016082,0.001460858,0.0,0.0,0.000271046,0.0,0.00066947,0.0,0.00060172,1.64e-05,0.000749406,0.0,5.14e-05,0.0,0.0,0.000102236,0.002504317,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
ENSG00000281205,0.00437003,0.523301316,0.0,0.0,0.0,0.0,0.216986316,0.0,9.58e-05,0.000128343,0.001042475,0.000226907,0.000503038,0.0,1.52e-05,4.65e-05,4.48e-05,0.0,0.0,7.07e-05,1.74e-05,2.89e-05,0.000854009,0.000169546,0.0,0.0,7.94e-05,6.78e-05,0.000185964,0.000121012,0.0,5.58e-05,0.000417308,1.07e-05,0.0,0.0,0.0,5.11e-05,0.000137223,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000281186,0.003128611,0.398256848,0.0,0.0,0.0,0.0,0.269709283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000167795,0.0,0.0,0.000105414,0.0,0.0,0.0,0.000150899,0.0,0.0,0.0,0.0,0.0,0.00029393,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000281183,0.001441921,0.422803273,0.0,0.0,0.0,0.0,0.233916268,0.0,0.004496171,0.002106328,0.002910244,0.000836242,0.000963821,0.0,0.005659375,0.00401446,0.00250056,0.00016692,0.001364773,0.002626723,0.0,0.002259239,0.002822666,0.005102162,0.0,0.002437644,0.005285393,0.000128002,0.006163377,0.0,0.003586724,6.23e-05,0.001844019,0.0,8.03e-05,0.0,0.0,0.000460064,0.001942084,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0
ENSG00000281128,0.006949865,0.283528993,0.0,0.0,0.0,0.0,0.233255364,0.0,0.0,0.0,0.000390928,6.63e-05,0.000110668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000144338,9.61e-05,0.0,0.0,0.0,0.000229612,0.000805112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
ENSG00000281103,0.024190425,0.369085735,0.0,0.0,0.0,0.0,0.217306377,0.015753745,0.008697511,0.006485075,0.000879589,0.000142773,5.84e-05,0.000237086,9.33e-05,0.0,0.0,0.0,0.014828643,0.0,0.0,0.0,0.000277276,0.001336656,0.0,0.002295528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-05,0.001812119,0.0,0.000102236,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000281005,0.002445733,0.521878335,0.0,0.0,0.0,0.0,0.215932749,0.000317737,0.000456988,0.000626614,4.89e-05,5.1e-06,1.21e-05,0.000214506,0.000308382,0.000623924,0.000770782,0.0,0.00018032,6.23e-05,0.0,7.71e-05,0.000177456,0.00034895,0.000555821,0.00022468,0.000252353,0.000158121,0.000770422,9.33e-05,0.000247767,7.22e-05,0.000380165,0.00016565,0.0,0.000262757,0.0,0.000460064,0.000226799,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
ENSG00000280924,0.000794847,0.553006048,0.0,0.36318408,0.407960199,0.472636816,0.218150449,0.0,5.9e-05,7.55e-05,0.0,1.02e-05,1.41e-05,0.0,5.52e-05,0.000301016,0.000188214,0.00013482,0.0,0.0,0.0,0.0,0.0,4.73e-05,0.000623987,0.0,0.000448627,0.0,0.000403807,0.0,0.0,0.0,4.37e-06,0.000179009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0
ENSG00000280832,0.009524492,0.521878335,0.0,0.029850746,0.353233831,0.343283582,0.230310531,0.0,0.002012221,0.002785789,0.001140208,0.000438517,0.000374261,0.004442538,0.000574884,0.0,0.002124132,0.001643523,0.0,0.000505139,0.005581703,0.002736136,0.005246054,0.000471181,0.008421207,0.001031363,0.002574935,0.002567578,0.000664157,0.0,0.004058662,0.002352054,0.000747221,0.001672536,0.000848424,0.004004784,0.0,0.002019169,0.001414158,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
ENSG00000280734,0.007992084,0.430273924,0.0,0.0,0.0,0.0,0.216533521,0.0,0.003700128,0.003133069,0.00110763,0.000257501,0.000118717,0.000163702,0.000114215,0.002542218,0.004938382,0.002015883,0.000502067,0.000116182,0.0001507,0.000356468,0.002306933,0.001456916,0.000838975,0.000308597,0.002116961,0.0,0.001415983,0.0,0.0,0.000787298,0.000906715,0.000732068,0.000870921,0.002564149,0.0,0.001571885,0.001522792,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1
ENSG00000280724,0.034399096,0.312700107,0.0,0.0,0.0,0.0,0.235583354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
ENSG00000280639,0.010142923,0.500711491,0.0,0.0,0.0,0.0,0.234777522,0.0,0.0,0.0,7.06e-05,1.02e-05,3.02e-05,1.13e-05,5.9e-05,4.38e-05,9.86e-05,5.14e-05,1.41e-05,0.0,0.0,0.0,1.66e-05,0.0,3.67e-05,9.47e-06,2.34e-05,2.26e-05,5.05e-05,0.0,0.000483736,0.0,0.000185713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1
ENSG00000280594,0.013923165,0.371575952,0.0,0.427860697,0.537313433,0.567164179,0.216274147,0.0,0.001216177,0.001026741,0.000711272,0.000130025,0.000237434,0.000304825,0.000279828,0.0,0.000331616,0.00017976,0.000813206,0.0,0.0,0.000428726,0.001369741,0.001397771,0.001819526,0.001306123,4.67e-05,0.001024019,2.66e-05,0.000201004,0.001934943,0.000610156,0.000343022,1.34e-05,0.000331014,0.0,0.000786922,0.002121406,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1
ENSG00000280587,0.005646602,0.519565991,0.0,0.189054726,0.0,0.0,0.225679491,0.0,0.000375909,0.000649262,0.0,0.0,6.04e-06,0.0,0.000116119,0.010190762,0.012726865,0.004718707,2.83e-05,0.000365384,5.22e-05,0.000240857,6.1e-05,0.000597355,0.0,0.0,0.000308431,2.26e-05,0.002898381,0.000100502,0.000106186,1.64e-05,0.000209746,0.000176338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0
ENSG00000280441,0.019472771,0.711846318,0.0,0.0,0.0,0.0,0.368563078,0.0,0.001850064,0.003548295,0.002209831,0.000247303,0.000698217,0.000920119,0.000245563,0.000840108,0.001684965,0.001405982,0.0,0.000316554,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.0,0.000532745,0.001746856,0.005778166,9.85e-05,0.001168045,0.000662643,0.000426047,0.000430157,0.000414571,0.003923239,0.0,0.003501597,0.000651808,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
ENSG00000280434,0.009240013,0.566880114,0.0,0.0,0.0,0.0,0.254786428,0.0,0.000899234,0.000717208,9.77e-05,2.04e-05,6.04e-05,3.95e-05,0.000767147,5.47e-06,0.0,0.0,0.0,3.37e-05,0.0,9.63e-06,7.21e-05,0.001385943,1.57e-05,0.00019355,9.35e-06,0.0,2.66e-05,7.59e-05,0.000117984,0.0,9.61e-05,0.0,0.0,2.72e-05,0.0,2.56e-05,8.77e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0
ENSG00000280426,0.001068259,0.348096763,0.0,0.432835821,0.233830846,0.144278607,0.215964894,0.000253331,0.000840268,0.000619064,0.000168316,3.57e-05,1.41e-05,0.000231441,6.66e-05,7.94e-05,0.000304728,0.0,0.000332354,6.57e-05,6.96e-05,0.000130063,0.000820736,0.000289806,0.000272667,9.34e-05,0.000528072,0.0,7.97e-05,0.0,0.000448341,0.000246031,0.0,0.000192368,0.000170328,0.000299,0.000289801,0.000460064,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
ENSG00000280424,0.002665113,0.672892209,0.0,0.12437811,0.099502488,0.0,0.224119647,0.0,0.0,0.0,1.09e-05,0.0,4.02e-06,0.0,1.71e-05,8.48e-05,5.38e-05,1.28e-05,0.0,0.0,0.0,0.0,0.000127547,0.0,0.000120603,2.71e-06,7.01e-05,0.0,0.000108922,1.13e-05,0.0,0.0,0.000179158,0.0,0.0,0.0,5.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0
ENSG00000280417,0.001229702,0.591070793,0.0,0.203980099,0.497512438,0.358208955,0.216110653,0.0,0.000103191,0.000135892,0.000217182,3.06e-05,4.63e-05,6.77e-05,9.52e-06,0.0,5.38e-05,5.14e-05,4.24e-05,0.0,6.96e-05,0.0,0.000105365,5.91e-05,0.0,0.0,0.000841177,0.0,0.0,3.08e-06,3.54e-05,4.92e-05,0.0,0.000622525,0.000600967,0.007493114,7.13e-05,0.001904153,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
ENSG00000280407,0.001764156,0.678406261,0.0,0.258706468,0.174129353,0.273631841,0.222783429,0.0,5.9e-05,4.53e-05,0.0,2.55e-06,6.04e-06,5.08e-05,0.000237949,0.0,0.000421241,3.85e-05,0.0,0.0,0.0,9.63e-06,0.000293912,0.000240519,0.0,0.0,1.4e-05,0.0,2.66e-05,0.001098342,0.002300695,6.56e-06,0.000120167,5.34e-06,9.64e-05,0.0,0.0,0.00029393,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
ENSG00000280401,0.001080627,0.56865884,0.0,0.0,0.0,0.0,0.219585041,8.59e-06,3.69e-05,0.0,0.000456083,0.000147872,0.000189142,7.34e-05,0.000127541,0.000199765,0.000107551,1.93e-05,2.47e-05,4.38e-05,0.0,5.3e-05,0.000859554,0.0,0.0,0.0,0.00013085,0.000120473,0.00019659,0.000121012,0.000330356,2.95e-05,0.000391089,0.0,0.0,0.0,0.0,0.000115016,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0
ENSG00000280399,0.002358501,0.383315546,0.0,0.194029851,0.731343284,0.0,0.216053568,0.0,0.0,0.0,0.000162887,2.8e-05,0.000116705,0.0,3.81e-06,7.11e-05,7.17e-05,0.0,0.0,2.02e-05,0.0,1.45e-05,0.0,0.0,0.0,0.0,5.14e-05,0.0,8.5e-05,0.0,2.36e-05,0.0,1.75e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1
ENSG00000280388,0.001249231,0.465492707,0.0,0.0,0.0,0.0,0.216514123,0.000214687,0.000700223,0.000218937,0.0,6.88e-05,5.23e-05,0.0,0.000430212,0.000186083,0.000224065,0.0,0.000399532,0.000220577,0.0,0.000192686,0.000682098,0.000189261,8.39e-05,0.000311304,0.001102876,5.27e-05,0.000884657,0.0,0.000283162,1.97e-05,0.000423862,4.01e-05,0.0,0.000235576,3.34e-05,0.000204473,0.000455504,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0
ENSG00000280387,0.000768157,0.503735326,0.0,0.0,0.0,0.0,0.216966641,0.0,0.000302202,0.0,0.000152028,2.55e-05,8.65e-05,3.95e-05,0.000255081,0.000664972,0.000672194,0.0,0.0,0.000249202,0.0,0.0001686,0.000133092,0.000309521,0.0,7.04e-05,0.000429935,0.0,0.000393181,0.000143574,0.0,0.0,0.000113613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0
ENSG00000280383,0.015001188,0.370508716,0.0,0.0,0.0,0.0,0.211853156,9.88e-05,0.000398022,0.000226487,8.69e-05,1.78e-05,5.43e-05,1.69e-05,9.33e-05,0.000191556,0.000206139,5.14e-05,9.19e-05,2.53e-05,0.0,2.41e-05,0.000116456,0.000208976,3.67e-05,7.31e-05,6.08e-05,4.52e-05,6.64e-05,5.95e-05,0.000106186,9.84e-06,0.00015294,5.34e-06,2.89e-05,0.0,1.78e-05,3.83e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1
