ID,GC_content,A549_cell,H1.hESC_cell,H1.hESC_cytosol,endothelial.cell.of.umbilical.vein_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cell,HepG2_cytosol,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,K562_nucleus,A549_cytosol,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_nucleus,HT1080_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,min_exp,mean_exp,median_exp,genomic_classification_is_7,genomic_classification_is_8,lncRNA_DB_is_1,with_repeat_L2,with_repeat_Low_complexity,with_repeat_hAT-Tip100
ENSG00000280303,0.567057986,0.000453432,0.000977321,0.000152971,0.000873006,0.000383853,0.00024366,0.000210711,0.000457092,0.00030174,0.0,9.63e-05,0.001070284,0.00033515,0.002191821,4.06e-05,0.000730178,0.001084256,0.000401151,0.001463006,0.000278835,0.000277477,0.00024046,0.000340267,9.32e-05,0.0,0.000230032,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280279,0.462291,0.000152787,0.002991687,0.000405373,0.001246145,0.000208861,0.001003192,0.006682557,0.001801479,0.00019902,0.000121719,0.000144514,0.0,0.001048821,0.000120603,0.00532871,0.00079031,0.0,0.006407787,0.001109053,6.89e-05,0.001509736,0.000229773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280206,0.351832088,0.005046896,0.002682202,0.000456364,0.007441671,0.010256787,0.001694196,0.001833461,0.020371947,0.016531525,0.008352267,0.004648541,0.003404944,0.00166392,0.00677472,0.000668627,0.005265871,0.00168662,0.0025052,0.006512736,0.003418187,0.000703524,0.004157293,0.003546856,0.006790609,0.0,0.011910543,0.002353753,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280202,0.313411597,0.000552004,0.000390928,9.18e-05,0.002450049,0.00117414,0.000515873,5.47e-05,1.79e-05,0.0,1.16e-05,1.45e-05,1.66e-05,0.002635854,0.0,0.000856762,0.000128855,0.0,0.000688067,2.36e-05,0.0,0.0,0.000609166,0.006211323,0.002638472,0.0,0.004332268,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
ENSG00000280173,0.418890075,0.001981301,0.0,0.000272798,0.002147313,0.001557993,0.000439729,0.000284597,0.001057585,0.000571381,0.00221993,0.001878685,0.002883666,0.000451466,0.002936411,0.000485905,0.00131432,0.001039078,0.000656187,0.002194509,0.000921795,0.000694784,0.000368706,0.000645931,0.000530265,0.0,0.002223642,0.000916725,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000280149,0.4037709,0.000502718,0.0,2.29e-05,0.000274574,0.000141123,0.0,0.000101251,0.000215102,0.0,0.000133312,0.000327566,0.001048102,0.000260234,0.0,0.0,0.0,0.0,0.001758688,0.0,0.00040349,0.0,0.000197712,0.0,0.000276381,0.0,0.001175719,0.000257293,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280138,0.425649235,0.00021193,7.6e-05,1.78e-05,0.000344978,5.08e-05,0.000750015,0.000142299,8.96e-05,1.28e-05,1.74e-05,0.000289028,0.00027173,0.000443581,0.0,0.000295062,6.87e-05,0.0,0.000353332,0.000283162,6.56e-06,0.000159495,5.34e-06,0.000997733,1.93e-05,4.46e-06,1.28e-05,4.96e-05,0.0,0.0,0.0,0.0,0,1,0,1,0,1
ENSG00000280128,0.367307008,0.001000508,0.001835191,0.000456364,0.001450316,0.000869315,0.001612341,0.003105938,0.004427515,0.001566482,0.000550635,0.000838183,0.004719231,0.0,0.000220231,0.000403342,0.0002663,0.000662601,0.003129508,0.002831625,0.001164545,0.002442669,0.000462218,0.001101544,0.000276381,0.001266209,0.000587859,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280123,0.169156884,0.003198667,0.0,0.000912727,0.000682916,0.000677388,0.0,0.000522673,0.003118978,0.001373882,0.0,0.0,0.000926101,0.001362285,0.000403757,0.000132643,0.001108152,0.000105414,0.001243302,0.0,0.000606876,0.0,0.000876345,0.001678268,0.001449392,0.003270298,0.002351438,0.002010696,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000280120,0.326040555,0.008437779,0.0,0.00089743,0.005322519,0.003894982,0.003474053,0.002936275,0.007680932,0.002388244,0.0,0.001459594,0.005539967,0.003329811,0.004897514,0.003971154,0.006949575,0.000496951,0.012634924,0.003303562,0.001797664,0.00478265,0.000686648,0.012722544,0.002882715,0.013618439,0.021392971,0.016605869,0.0,0.0,0.0,0.0,0,1,0,1,0,0
ENSG00000280077,0.215581644,0.002252374,0.0,0.000114728,0.001027894,0.000547555,0.001989252,0.001614541,0.001998656,0.0002568,0.0,0.001006783,0.003166487,0.004782784,0.000298885,0.001384625,0.000644275,0.0,0.005677214,0.001179844,0.0,0.001686709,0.000227101,0.00667847,0.001057317,0.002224783,0.000753994,0.002104084,0.0,0.0,0.0,0.0,0,0,0,0,1,0
ENSG00000280063,0.584667378,0.000581576,0.0,0.000489507,0.000830764,0.0,0.001461958,0.00249296,0.001451938,0.00017976,1.74e-05,0.000332383,0.001425197,0.001742779,0.0,0.001277699,0.002465424,0.0,0.003219833,0.002206307,0.000131216,0.004212403,7.75e-05,0.002139648,0.0,0.0,0.000881789,0.001183547,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000280061,0.436855212,0.0,1.09e-05,2.55e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000488005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92e-05,3.93e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
ENSG00000280018,0.341337602,0.004475177,0.007758841,0.002174739,0.002252918,0.002145063,0.002880133,0.003751755,0.008639928,0.002497384,0.0,0.000712937,0.004785777,0.009711456,0.0,0.016197275,0.003539215,0.0,0.003605044,0.001392215,0.001335127,0.00197074,0.00181414,0.00877198,0.002056787,0.01446778,0.013533546,0.006638155,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279884,0.358946994,1.48e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46e-05,0.0,0.0,8.03e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279861,0.670046247,0.000285859,0.001639727,0.000234556,0.001239105,0.0,0.000932759,0.001600858,0.000878333,0.0,0.0,0.000399823,0.000277276,0.002639797,9.44e-05,0.00123168,0.000652865,0.0,0.003310159,0.001097255,0.0,0.000788733,8.02e-05,0.001707105,2.57e-05,0.0,0.000332268,0.000257293,0.0,0.0,0.0,0.0,0,1,0,0,0,0
ENSG00000279795,0.266275347,0.000502718,0.0,0.0,0.0,0.0,9.9e-05,0.0,0.000179252,0.0,0.0,0.0,0.002467753,7.1e-05,0.0,0.0,0.000128855,0.0,2.13e-05,0.0,0.000246031,0.0,0.0,0.003996701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279789,0.512628958,0.001508154,0.000504949,0.000155521,0.002330362,0.000355629,0.003028613,0.002090693,0.002213758,0.0001605,0.0,0.001377702,0.002018566,0.002314504,0.0,0.001445533,0.001279959,0.0,0.005411552,0.002772632,0.0,0.003845347,0.0,0.002479916,2.25e-05,0.0,0.000485623,0.002582458,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279778,0.29473497,0.0,0.0,0.0,0.0,0.0,0.0,1.64e-05,0.0,0.0,0.0,0.0,0.000188547,0.0,0.0,0.0,0.0,1.51e-05,0.0,9.44e-05,5.58e-05,3.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000279759,0.520455354,0.001138509,0.00098275,0.000229457,0.001703769,0.000118543,0.001482897,0.000919467,0.00107551,5.14e-05,0.0,0.000703303,0.001397469,0.000753101,0.0,0.001177541,0.000876213,0.000120473,0.002032321,0.001864153,3.28e-05,0.001090243,3.47e-05,0.002468381,6.43e-06,0.000102545,0.000319489,0.000522209,0.0,0.0,0.0,0.0,0,1,0,1,0,0
ENSG00000279738,0.47847741,0.000123215,0.00024433,5.1e-05,0.000267534,9.03e-05,0.00022272,0.000218921,0.000304728,0.00013482,6.96e-05,0.000139697,0.000249548,0.000185318,0.000115359,0.000154298,0.000111674,6.02e-05,0.000185964,0.000176977,5.25e-05,0.000176973,1.87e-05,0.00039794,7.07e-05,7.36e-05,0.000102236,5.34e-05,0.0,0.0,0.0,0.0,0,1,0,1,0,0
ENSG00000279673,0.429206688,0.000276002,0.001656016,0.000652677,0.001415114,0.001710405,0.000258888,0.0,0.0,0.0,0.000197069,0.0,0.002018566,0.001021221,0.000398513,0.000798562,0.0005326,0.000406596,5.84e-05,0.000412945,0.003874163,0.00129999,0.000109543,0.0,0.00080986,0.001246146,3.83e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279672,0.729811455,0.001286367,0.00468571,0.001567954,0.004329827,0.002116838,0.002482282,0.008212266,0.008523415,0.005745909,2.9e-05,0.0,0.002556481,0.004230772,0.0002045,0.003021001,0.00786874,0.0,0.001429266,0.005002537,0.0,0.00319426,0.000109543,0.00634397,0.000899844,0.007501399,0.000485623,0.002877868,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279561,0.377801494,0.00095615,8.69e-05,2.04e-05,0.000288655,0.000107253,0.000104697,0.000675918,0.001613265,0.000937321,4.06e-05,0.000154149,0.001586016,0.00424063,3.15e-05,1.49e-05,0.000541191,9.79e-05,0.001981845,0.000141581,0.000600315,0.000332098,0.000975201,0.000916992,0.000376006,0.004917708,0.000549521,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279529,0.524546425,0.000266145,0.000287767,0.000122377,0.000274574,0.000327404,0.000456862,0.00070602,0.00051983,0.000365941,1.74e-05,0.0001686,0.001037011,0.000721558,0.0,0.000357323,0.000352203,0.0,0.00135488,0.000648914,0.000203385,0.001328393,0.00031527,0.001003501,0.000221747,0.0,0.000153355,0.000491715,0.0,0.0,0.0,0.0,1,0,0,0,1,0
ENSG00000279496,0.607612949,0.000300645,0.00493547,0.00058129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000138638,0.0,0.0,0.0,0.000343613,0.0,0.000162054,0.0,4.26e-05,1.97e-05,0.000146948,0.0,0.0001639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000279453,0.309498399,0.001256795,0.001313953,0.000400274,0.002949915,0.00203781,0.000978446,0.000383111,0.001891105,0.0,0.0,0.001710085,0.007308985,0.000226719,0.000314615,0.000177308,0.000352203,0.000587305,0.000887314,0.002182711,0.001892796,0.0,0.000309927,0.007797316,0.002445648,0.001112392,0.001456869,0.000541268,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279423,0.431696905,0.030902379,0.086226836,0.008974303,0.176692153,0.064092215,0.014341653,0.026089883,0.116155053,0.141188857,0.091475007,0.037511079,0.039001586,0.006285043,0.0,0.004076727,0.094914526,0.0,0.011388965,0.060089432,0.024137252,0.019362197,0.008811538,0.005034805,0.005077692,0.003071895,0.012690096,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279415,0.455176094,4.93e-05,0.000434365,3.57e-05,0.000112646,0.0,0.0,0.0,0.0,0.0,0.000475285,0.000486531,0.001846656,0.000354864,0.0,0.0,8.59e-05,0.00050448,6.64e-05,0.001651781,0.000583913,0.000334283,0.000117558,0.0,0.0,0.000341074,0.001009585,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000279407,0.477943792,0.001616584,0.001275947,0.000609335,0.000844844,0.000406433,0.000740497,0.001663798,0.001846292,0.000725461,1.16e-05,0.000125246,0.000909464,0.000739301,0.000634475,0.00066998,0.001357272,0.0,0.003320785,0.0,0.000127936,0.00038235,0.000371378,0.00475221,0.000488487,0.001854729,0.001022364,0.002288953,0.0,0.0,0.0,0.0,0,1,0,0,0,0
ENSG00000279312,0.146389185,0.004031602,0.000336633,8.16e-05,0.002956955,0.00058707,0.009196247,0.0,0.0,0.0,0.0,0.003540599,0.000571188,0.0,0.0,0.0,0.00079031,5.27e-05,0.000239097,0.001970339,6.89e-05,0.0,0.0,0.019204928,0.000205679,0.0,0.000421725,0.0057767,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279297,0.215048026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279233,0.569192458,0.000492861,0.001020757,0.000193763,0.000725158,0.000129833,0.001014614,0.002077011,0.001451938,0.0,0.0,0.000650314,0.000698735,0.001155281,0.0,0.000378979,0.00052401,0.0,0.002715074,0.000873084,9.19e-05,0.001636457,5.08e-05,0.001245725,0.0,0.00044139,0.000638978,0.002277518,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000279227,0.491462113,0.00074422,0.000993609,0.000249853,0.000668835,0.000643519,6.85e-05,0.000738858,0.006013892,0.005591829,0.000370954,0.00026976,0.005551058,0.000126174,0.00054009,0.00022062,0.001786788,0.000436714,2.92e-05,0.000967472,0.001033329,0.000288401,0.000285881,0.0,0.000674883,0.0,0.001929712,0.00036021,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279145,0.317858413,0.000216859,0.000184605,5.61e-05,6.34e-05,2.26e-05,0.000106601,0.000147772,0.000250952,3.85e-05,0.0,0.000139697,0.000255094,0.00016166,0.0,0.000131289,7.73e-05,0.0,7.17e-05,0.000141581,5.58e-05,0.0,0.0,0.000305664,0.000179969,0.000144901,0.000191693,0.000139129,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000279133,0.346318036,0.001212438,0.000906736,0.000165719,0.000999732,0.00028789,0.00089088,0.000949569,0.001783554,0.000706201,7.54e-05,0.0,0.000659916,0.000506668,0.000471923,0.000301829,0.000773129,3.01e-05,0.005002431,0.000200573,8.53e-05,0.000509072,0.000454203,0.000657466,0.000186396,0.000162735,0.001022364,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
ENSG00000279117,0.546246887,0.003765457,0.002568182,0.000469111,0.045114688,0.034772595,0.009752095,0.004898352,0.013578311,0.008833934,0.00037675,0.00023604,0.004536229,0.000770844,0.00392745,0.000878418,0.00130573,0.002386868,0.003708653,0.00211192,0.000567511,0.000349577,0.002695828,0.00039794,0.0,0.004442879,0.000984026,0.000121976,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279095,0.485236571,0.010833083,0.00147684,0.000323789,0.019016038,0.010821277,0.009377088,0.003880371,0.007349317,0.003376925,0.002799546,0.004402867,0.003371671,5.91e-06,0.003817334,0.000189489,0.017764797,0.009201114,0.001453176,0.015939686,0.001466343,0.002643676,0.000496951,0.005242426,0.002217473,0.0,0.003335463,0.001172112,0.0,0.0,0.0,0.0,0,0,0,0,0,1
ENSG00000279092,0.415510494,5.42e-05,8.69e-05,1.53e-05,0.000112646,5.08e-05,0.000127541,0.000268178,0.000268877,4.49e-05,8.11e-05,0.000158966,0.000127547,0.000624956,6.82e-05,0.00105708,2.58e-05,7.53e-05,1.59e-05,0.000141581,5.25e-05,0.00022067,0.0,0.001101544,0.000183183,0.000162735,2.56e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279089,0.297758805,0.000828006,0.000597252,0.000196313,0.000422422,0.000163702,0.000506355,0.000591086,0.001183061,0.00027606,0.000156496,0.0,0.001264377,0.000451466,0.000157308,0.000276113,0.000249119,0.0,0.00208014,0.000448341,7.87e-05,0.000336468,0.00019504,0.002583726,0.000311732,0.000711128,0.000817891,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000279088,0.381358947,0.011922305,0.011076302,0.004132769,0.009694589,0.0,0.008933551,0.018608266,0.03364553,0.010682896,0.000625985,0.006387529,0.010414472,0.007168261,0.003696732,0.022033545,0.015419637,0.0,0.030065061,0.019892162,0.003004855,0.030896053,0.001536275,0.030133858,0.002043932,0.003858818,0.010236422,0.006420885,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000279069,0.644432586,0.000473146,0.0,0.000326338,0.000408341,0.000502396,0.000165612,0.001929239,0.002876989,0.002715664,0.000324585,0.0003372,0.002994576,0.00076493,0.0,0.0,0.002233485,0.002032979,0.00136285,0.002359687,0.001610681,0.001942337,0.001958416,0.000357569,0.000475632,0.000927365,0.000984026,0.0012655,0.0,0.0,0.0,0.0,1,0,0,0,0,0
ENSG00000279059,0.334222697,0.006688123,0.002801653,0.000762306,0.005174672,0.001253168,0.003755785,0.005664575,0.013694824,0.002600104,0.001425856,0.002398936,0.009244369,0.005031189,0.00217609,0.002803088,0.002379521,0.0,0.006646884,0.002595656,0.001272799,0.004301982,0.000788176,0.005588461,0.000491701,0.003375072,0.002504792,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
ENSG00000279010,0.578619708,3.45e-05,9.23e-05,2.04e-05,5.63e-05,3.39e-05,4.76e-05,9.3e-05,9.86e-05,1.28e-05,0.000202866,0.000139697,7.21e-05,0.000102516,0.0,6.23e-05,1.72e-05,1.51e-05,5.58e-05,5.9e-05,1.31e-05,4.15e-05,5.34e-06,0.000219155,0.0,2.68e-05,1.28e-05,2.29e-05,0.0,0.0,0.0,0.0,0,1,0,1,1,1
ENSG00000278996,0.71469228,0.000438646,0.002209831,0.000247303,0.001267267,0.000920119,0.000245563,0.000840108,0.001684965,0.001405982,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.0,0.000549781,0.001746856,0.005778166,0.001168045,0.000662643,0.000426047,0.000430157,0.000432543,0.000414571,0.0,0.003501597,0.000651808,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000278970,0.673425827,0.021907667,0.008480972,0.001667385,0.021198553,0.015828305,0.001461958,0.0,0.0,0.0,0.005888899,0.003367182,0.017390726,0.003329811,0.0,0.001532156,0.037694356,0.017250207,0.004221382,0.018464552,0.006554258,0.001570912,0.011325685,0.002872088,0.00752334,0.000760171,0.030172524,0.007669232,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ENSG00000278949,0.466915688,0.000759006,0.000760138,0.000193763,0.003252651,0.000191927,0.00246515,0.000905785,0.000600493,0.0,2.32e-05,0.000645497,0.001774564,0.00256291,0.0,0.000605012,0.000420926,0.0,0.00185167,0.001050061,2.95e-05,0.001461669,0.0,0.001482182,3.54e-05,0.0,0.000536741,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
