ID,gene_length,GC_content,repeat_coverage,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,promoters_hg38_7way_phastCons_elements,Distance_closest_pc,K562_cytosol,A549_cell,GM12878_cell,GM12878_cytosol,H1.hESC_cell,H1.hESC_cytosol,HepG2_nucleus,HepG2_cell,HepG2_cytosol,K562_cell,keratinocyte_nucleus,keratinocyte_cytosol,keratinocyte_cell,SK.N.SH_cell,GM12878_nucleus,HeLa.S3_cytosol,HeLa.S3_nucleus,MCF.7_cell,A549_cytosol,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_cytosol,SK.MEL.5_nucleus,SK.MEL.5_cytosol,SK.N.DZ_cytosol,NCI.H460_cytosol,max_exp,min_exp,mean_exp,median_exp,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,DISEASE_DB_is_1,with_repeat_L1
ENSG00000281904,0.001233608,0.169512629,0.0,0.0,0.0,0.0,0.663424126,0.0,9.86e-06,0.0,0.0,0.0,0.0,3.56e-05,5.38e-05,0.0,0.0,0.0,0.0,0.0,7.76e-05,0.0,0.0,0.0,5.61e-05,0.0,0.0,0.000177994,0.0,9.84e-06,3.28e-05,0.0,0.0,0.0,0.0,0.0,1.28e-05,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1
ENSG00000281881,0.000413372,0.473319104,0.0,0.0,0.0,0.0,0.218202269,0.000158869,0.000369646,0.000154786,0.000309532,0.002948251,0.000359482,0.003319386,0.002572261,0.0,0.000378318,0.000666783,0.0,0.000346834,0.002833757,0.000376551,0.0,0.0,0.0,0.0,0.000248475,0.0,0.0,0.0,0.002420821,0.0,5.14e-05,0.012817478,0.0,0.0,0.000230032,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0
ENSG00000281849,0.012063965,0.527214514,0.0,0.039800995,0.0,0.174129353,0.215955472,0.0,0.000103501,0.0,0.00051337,0.001031616,0.000206511,0.000232603,0.000233027,0.0,0.0,0.0,0.0,0.0,0.0,0.000291777,0.0,0.000161774,0.0,0.001761017,0.0,0.0,0.00060172,0.000150899,0.0,0.000168322,0.0,0.0,0.0,0.0,0.000523962,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
ENSG00000281796,0.001094298,0.561366062,0.0,0.0,0.0,0.0,0.255868537,1.29e-05,0.0,0.000147415,0.000211388,0.000347492,1.53e-05,0.000251759,8.07e-05,0.0,0.0,0.00016838,0.0,1.93e-05,0.000188547,0.000552011,2.62e-05,0.000130385,0.000266373,0.0,0.0,0.000318795,8.26e-05,0.0,0.0,8.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1
ENSG00000281649,0.006889324,0.312522234,0.0,0.422885572,0.014925373,0.069651741,0.224270671,0.009132793,0.01817671,0.045514517,0.033655951,0.013177541,0.004216903,0.006800227,0.018937934,0.008898134,0.010826253,0.004719682,0.010977928,0.009682454,0.01879374,0.011600123,0.017891133,0.005640353,0.01517389,0.015668757,0.00523304,0.009858747,0.025472822,0.00937541,0.003948035,0.005856547,0.02057108,0.02467096,0.033469846,0.014398673,0.025955272,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
ENSG00000281501,0.026515726,0.348452508,0.0,0.064676617,0.0,0.0,0.215942448,0.002404496,0.00283395,0.005601787,0.006688913,0.0,0.00031614,0.000637607,0.0,0.002824804,0.00314322,0.000215526,0.004312344,0.003844079,0.00145847,0.000897018,0.0,0.000450311,0.005677942,0.011365003,0.0,0.001291121,0.0,0.002112584,0.000231595,0.009813456,0.000800219,0.0,0.0,0.0,0.002760383,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
ENSG00000281404,0.013945949,0.316079687,0.0,0.0,0.0,0.0,0.223848357,0.0,0.000359788,0.001533121,0.000845551,0.0,7.39e-05,0.002194681,0.00253641,0.0,0.000749564,0.001155084,0.000365158,0.0,0.00200193,0.001050793,0.000351321,0.000814905,0.000387876,0.000438107,0.0,0.004726141,0.0,0.000203385,0.003170227,0.000138933,0.0,0.0,0.0,0.0,0.000166134,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
ENSG00000281398,0.005907645,0.404838136,0.0,0.268656716,0.169154229,0.0,0.216045532,0.10462565,0.03220846,0.119222236,0.118286551,0.112147554,0.041215508,0.018624685,0.06541788,0.01935633,0.093925348,0.010909317,0.003929797,0.022356353,0.010098377,0.026307281,0.0,0.0,0.008075295,0.09133236,0.008832166,0.010658392,0.014087332,0.014669991,0.047234409,0.002546208,0.023942281,0.073192875,0.026012975,0.011449386,0.092996805,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
ENSG00000281357,0.038192358,0.311988616,0.0,0.567164179,0.776119403,0.631840796,0.216698954,0.0,0.000379503,0.00200485,0.00242341,0.0,0.00021161,0.000372165,0.000403316,0.00021186,0.000618744,0.000165012,0.000492674,0.000322748,0.001319832,0.001135566,0.000650205,0.001174671,0.000686961,0.000755949,0.000466832,0.001059995,0.001085456,0.000764335,0.0,0.000325957,0.000629891,0.00177424,0.0,0.000405722,0.001086262,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1
ENSG00000281332,0.001678227,0.471362504,0.0,0.0,0.0,0.0,0.245113674,0.00056248,0.001143437,0.000250606,0.0,0.00048866,6.63e-05,0.000965988,0.000950034,0.0002889,0.000523281,7.41e-05,7.54e-05,0.0,0.000743099,0.000230662,0.000382782,0.000213686,0.001051471,0.002800447,0.000293653,0.00136285,0.000401147,0.000357565,0.000758145,0.000537028,0.001185866,0.000942031,0.002908452,0.000285343,0.004434505,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
ENSG00000281207,0.019030105,0.514585557,0.0,0.0,0.0,0.0,0.21834498,0.000227568,0.002119302,0.000324314,0.000505821,0.000944743,0.000155521,0.001551601,0.0,3.21e-05,0.00031114,0.001038902,5.8e-05,0.00037092,0.00016082,0.001460858,0.0,0.001708283,0.000271046,0.001640753,0.0,0.00066947,0.00060172,1.64e-05,0.000749406,0.0,5.14e-05,0.000575957,0.0,0.0,0.000102236,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1
ENSG00000281189,0.001196502,0.421736037,0.0,0.154228856,0.199004975,0.0,0.219725535,8.59e-05,0.000202073,0.000471729,0.000422776,0.00024433,7.9e-05,0.0,0.000233027,0.00017976,7.07e-05,7.41e-05,0.000353566,0.000342017,0.000720917,0.000100545,0.000188769,6.52e-05,0.000500033,0.000146036,0.0,0.0,0.000353953,0.000183703,1.09e-05,0.000275194,0.000128549,5.13e-05,0.000543636,0.0,0.000306709,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
ENSG00000281181,0.000556588,0.600853789,0.0,0.890547264,1.0,1.0,0.384348295,0.0,3.94e-05,0.0,7.55e-05,0.00011945,7.65e-06,0.0,2.69e-05,1.28e-05,1.41e-05,0.0,8.11e-05,1.93e-05,0.000116456,0.0,0.0,0.0,0.000154216,0.0,0.0,1.33e-05,0.000106186,0.0,0.0,8.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
ENSG00000281103,0.024190425,0.369085735,0.0,0.0,0.0,0.0,0.217306377,0.015753745,0.00049779,0.008697511,0.006485075,0.000879589,0.000142773,0.0,0.0,0.0,0.014828643,0.0,0.0,0.0,0.000277276,0.001336656,0.0,0.0,0.0,0.000420926,0.0,0.0,0.0,0.0,0.0,0.0,9e-05,0.000165954,0.001812119,0.0,0.000102236,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
ENSG00000281100,0.001262902,0.461045891,0.0,0.0,0.0,0.0,0.216409099,0.0,1.97e-05,3.69e-05,3.02e-05,0.000200894,5.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.85e-05,0.0,5.13e-05,1.57e-05,1.81e-05,3.74e-05,0.0,0.0,5.58e-05,0.000117984,0.0,0.0,0.0,0.0,2.93e-05,0.0,0.0,6.39e-05,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
ENSG00000281026,0.003139027,0.303450729,0.0,0.0,0.0,0.0,0.224120478,0.0,0.000547076,0.002557658,0.000422776,0.000885018,0.000280447,0.002183735,0.003038315,0.00018618,0.000470245,0.000681938,1.74e-05,0.0,0.000554551,0.001102051,0.0,0.0,0.000925294,0.000120265,0.0,0.001902146,0.000294961,2.95e-05,0.000570248,1.34e-05,8.68e-05,0.003131155,0.0,0.000316552,0.000178914,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1
ENSG00000281005,0.002445733,0.521878335,0.0,0.0,0.0,0.0,0.215932749,0.000317737,5.42e-05,0.000456988,0.000626614,4.89e-05,5.1e-06,0.000623924,0.000770782,0.0,0.00018032,6.23e-05,0.0,7.71e-05,0.000177456,0.00034895,0.000555821,0.00091028,0.000252353,5.15e-05,0.000158121,0.000770422,0.000247767,7.22e-05,0.000380165,0.00016565,0.0,0.000300181,0.000262757,0.0,0.000460064,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
ENSG00000280832,0.009524492,0.521878335,0.0,0.029850746,0.353233831,0.343283582,0.230310531,0.0,0.002084802,0.002012221,0.002785789,0.001140208,0.000438517,0.0,0.002124132,0.001643523,0.0,0.000505139,0.005581703,0.002736136,0.005246054,0.000471181,0.008421207,0.001418539,0.002574935,0.00420067,0.002567578,0.000664157,0.004058662,0.002352054,0.000747221,0.001672536,0.000848424,0.004029257,0.004004784,0.0,0.002019169,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
ENSG00000280800,0.000556588,0.600853789,0.0,0.905472637,1.0,1.0,0.321376742,0.0,3.94e-05,0.0,7.55e-05,0.00011945,7.65e-06,0.0,2.69e-05,1.28e-05,1.41e-05,0.0,8.11e-05,1.93e-05,0.000116456,0.0,0.0,0.0,0.000154216,0.0,0.0,1.33e-05,0.000106186,0.0,0.0,8.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
ENSG00000280798,0.002107874,0.42796158,0.0,0.830845771,0.203980099,1.0,0.239841682,0.001734672,0.012617239,0.005365922,0.004386296,0.005500144,0.000958619,0.001182172,0.004911495,0.003210005,0.001488521,0.003990598,0.00836386,0.006392347,0.011146479,0.001695463,0.006056348,0.0,0.002430066,0.006889442,0.002492282,0.001415983,0.005816629,0.003037659,0.00212805,0.000454203,0.003384057,0.001342272,0.005445419,0.004376002,0.002428115,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
ENSG00000280739,0.088849685,0.359124867,0.0,0.452736318,0.63681592,0.44278607,0.215952701,0.003254658,0.000630862,0.000936088,0.00104184,0.0,0.000193763,0.000405003,0.00083352,0.000609901,0.002124944,4.38e-05,0.000220254,0.000298663,0.000366004,0.000317406,0.0,0.0,0.000401895,0.0,0.0,0.000215187,0.000637116,5.25e-05,2.62e-05,0.0,0.000880562,0.000241609,0.0,0.0,0.000830671,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
ENSG00000280734,0.007992084,0.430273924,0.0,0.0,0.0,0.0,0.216533521,0.0,0.00116808,0.003700128,0.003133069,0.00110763,0.000257501,0.002542218,0.004938382,0.002015883,0.000502067,0.000116182,0.0001507,0.000356468,0.002306933,0.001456916,0.000838975,0.000608463,0.002116961,0.000635684,0.0,0.001415983,0.0,0.000787298,0.000906715,0.000732068,0.000870921,0.001784002,0.002564149,0.0,0.001571885,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1
ENSG00000280721,0.012664169,0.422091782,0.0,0.134328358,0.0,0.0,0.296044856,0.0,0.000138001,0.0,0.0,0.0,0.0,0.0,5.38e-05,0.0,1.77e-05,0.0,0.0,0.0,0.009815556,0.0,3.15e-05,0.0,0.0,0.000403745,0.009140878,0.0,0.008695447,0.001971526,0.0,1.6e-05,0.0,0.0,0.0,0.0,0.000115016,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
ENSG00000280639,0.010142923,0.500711491,0.0,0.0,0.0,0.0,0.234777522,0.0,6.41e-05,0.0,0.0,7.06e-05,1.02e-05,4.38e-05,9.86e-05,5.14e-05,1.41e-05,0.0,0.0,0.0,1.66e-05,0.0,3.67e-05,2.54e-05,2.34e-05,6.87e-05,2.26e-05,5.05e-05,0.000483736,0.0,0.000185713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
ENSG00000280614,0.000556588,0.600853789,0.0,0.955223881,1.0,1.0,0.372097322,0.0,3.94e-05,0.0,7.55e-05,0.00011945,7.65e-06,0.0,2.69e-05,1.28e-05,1.41e-05,0.0,8.11e-05,1.93e-05,0.000116456,0.0,0.0,0.0,0.000154216,0.0,0.0,1.33e-05,0.000106186,0.0,0.0,8.02e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
ENSG00000280594,0.013923165,0.371575952,0.0,0.427860697,0.537313433,0.567164179,0.216274147,0.0,0.000162644,0.001216177,0.001026741,0.000711272,0.000130025,0.0,0.000331616,0.00017976,0.000813206,0.0,0.0,0.000428726,0.001369741,0.001397771,0.001819526,0.00119278,4.67e-05,0.000249119,0.001024019,2.66e-05,0.001934943,0.000610156,0.000343022,1.34e-05,0.000331014,0.0,0.0,0.000786922,0.002121406,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
ENSG00000280543,0.001277874,0.426182853,0.0,0.0,0.0,0.0,0.315400617,2.58e-05,0.000128144,6.63e-05,2.26e-05,2.71e-05,1.27e-05,5.2e-05,0.0,0.0,2.83e-05,0.00018185,0.0,7.71e-05,0.000415913,7.1e-05,0.0,4.23e-05,0.00011683,0.0,0.0,0.000191277,0.00022417,0.0,0.000664196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
ENSG00000280441,0.019472771,0.711846318,0.0,0.0,0.0,0.0,0.368563078,0.0,0.000438646,0.001850064,0.003548295,0.002209831,0.000247303,0.000840108,0.001684965,0.001405982,0.0,0.000316554,0.000765093,0.000375737,0.001475106,0.001109937,0.00210268,0.00080404,0.000532745,0.000549781,0.001746856,0.005778166,0.001168045,0.000662643,0.000426047,0.000430157,0.000414571,0.001188521,0.003923239,0.0,0.003501597,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
ENSG00000280434,0.009240013,0.566880114,0.0,0.0,0.0,0.0,0.254786428,0.0,5.42e-05,0.000899234,0.000717208,9.77e-05,2.04e-05,5.47e-06,0.0,0.0,0.0,3.37e-05,0.0,9.63e-06,7.21e-05,0.001385943,1.57e-05,7e-05,9.35e-06,1.72e-05,0.0,2.66e-05,0.000117984,0.0,9.61e-05,0.0,0.0,0.000619886,2.72e-05,0.0,2.56e-05,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
ENSG00000280426,0.001068259,0.348096763,0.0,0.432835821,0.233830846,0.144278607,0.215964894,0.000253331,0.000414003,0.000840268,0.000619064,0.000168316,3.57e-05,7.94e-05,0.000304728,0.0,0.000332354,6.57e-05,6.96e-05,0.000130063,0.000820736,0.000289806,0.000272667,0.00014125,0.000528072,0.000498239,0.0,7.97e-05,0.000448341,0.000246031,0.0,0.000192368,0.000170328,0.000327026,0.000299,0.000289801,0.000460064,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
ENSG00000280422,0.001292847,0.511739594,0.0,0.0,0.0,0.0,0.216339822,0.0,1.48e-05,0.0,0.0,0.001009898,0.000188664,0.000262705,0.000197177,0.0,0.0,5.05e-05,0.0,2.89e-05,0.001014829,0.0,0.0,1.93e-05,0.0,0.0,6.78e-05,3.19e-05,0.00015338,2.95e-05,0.000404198,8.02e-06,0.0,0.0,1.81e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
ENSG00000280417,0.001229702,0.591070793,0.0,0.203980099,0.497512438,0.358208955,0.216110653,0.0,0.000448503,0.000103191,0.000135892,0.000217182,3.06e-05,0.0,5.38e-05,5.14e-05,4.24e-05,0.0,6.96e-05,0.0,0.000105365,5.91e-05,0.0,0.0,0.000841177,0.000962117,0.0,0.0,3.54e-05,4.92e-05,0.0,0.000622525,0.000600967,0.000517385,0.007493114,7.13e-05,0.001904153,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1
ENSG00000280407,0.001764156,0.678406261,0.0,0.258706468,0.174129353,0.273631841,0.222783429,0.0,0.0,5.9e-05,4.53e-05,0.0,2.55e-06,0.0,0.000421241,3.85e-05,0.0,0.0,0.0,9.63e-06,0.000293912,0.000240519,0.0,0.0,1.4e-05,1.72e-05,0.0,2.66e-05,0.002300695,6.56e-06,0.000120167,5.34e-06,9.64e-05,0.0,0.0,0.0,0.00029393,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
ENSG00000280401,0.001080627,0.56865884,0.0,0.0,0.0,0.0,0.219585041,8.59e-06,7.89e-05,3.69e-05,0.0,0.000456083,0.000147872,0.000199765,0.000107551,1.93e-05,2.47e-05,4.38e-05,0.0,5.3e-05,0.000859554,0.0,0.0,2.9e-05,0.00013085,0.000103084,0.000120473,0.00019659,0.000330356,2.95e-05,0.000391089,0.0,0.0,0.0,0.0,0.0,0.000115016,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
ENSG00000280387,0.000768157,0.503735326,0.0,0.0,0.0,0.0,0.216966641,0.0,0.000266145,0.000302202,0.0,0.000152028,2.55e-05,0.000664972,0.000672194,0.0,0.0,0.000249202,0.0,0.0001686,0.000133092,0.000309521,0.0,6.76e-05,0.000429935,0.000120265,0.0,0.000393181,0.0,0.0,0.000113613,0.0,0.0,0.000319705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
ENSG00000280383,0.015001188,0.370508716,0.0,0.0,0.0,0.0,0.211853156,9.88e-05,0.000182359,0.000398022,0.000226487,8.69e-05,1.78e-05,0.000191556,0.000206139,5.14e-05,9.19e-05,2.53e-05,0.0,2.41e-05,0.000116456,0.000208976,3.67e-05,0.000113483,6.08e-05,0.000377974,4.52e-05,6.64e-05,0.000106186,9.84e-06,0.00015294,5.34e-06,2.89e-05,0.000112263,0.0,1.78e-05,3.83e-05,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1
ENSG00000280374,0.000448525,0.231945927,0.0,0.044776119,0.0,0.0,0.23651721,0.0,0.001424368,0.00296305,0.0,0.00037464,0.000155521,0.000495308,0.001962805,0.000584221,0.00241487,0.000228996,0.0,0.00026976,0.001708018,0.000307549,0.000194013,0.0,0.0,0.000300661,4.52e-05,0.0,0.000625317,0.000751214,0.0,0.0,0.0,0.0,0.0,0.00167639,0.000153355,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
ENSG00000280355,0.001337113,0.451440768,0.0,0.865671642,0.0,1.0,0.221250464,0.000863042,0.002651592,0.001768985,0.001260777,0.001259658,0.000359482,0.002394446,0.002133094,0.000866701,0.001028883,0.000734135,0.000365158,0.000659948,0.001702472,0.001762493,0.0,0.00113966,0.001000065,0.003092518,0.0018598,0.002146556,0.003350756,0.000554389,0.000991925,0.000382065,0.001391545,0.000500301,0.000697666,0.001328628,0.003348243,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1
ENSG00000280351,0.001126196,0.741728922,0.0,0.0,0.0,0.0,0.219200968,0.0,0.000266145,0.000375909,0.000800254,0.000130309,2.8e-05,0.000574667,0.001012772,0.000404461,0.000159106,0.0,0.000127516,0.0001686,0.001197831,0.0,0.001499667,0.000393569,0.000327124,0.000618504,0.0,0.000345362,0.000389348,0.000216507,0.000347392,0.000261835,0.0,0.0,0.00152218,0.0,0.000421725,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1
ENSG00000280347,0.00319436,0.296513696,0.0,0.0,0.0,0.0,0.234560546,0.0,0.001079365,0.002749298,0.001064488,0.000195464,5.1e-05,0.000831899,0.00079767,0.00017976,0.002690653,0.000781282,0.000515858,0.000968245,0.001824473,0.001324827,0.000435218,0.000625364,0.001275784,0.000309252,7.53e-05,0.000592428,0.000707906,0.000265713,0.000402014,0.000170994,0.000485273,0.002035373,0.00152218,0.000151588,0.000996805,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
ENSG00000280339,0.002070768,0.327107791,0.0,0.0,0.0,0.0,0.249528569,0.0,0.0,0.0,0.0,9.23e-05,2.55e-05,0.000191556,0.000394354,0.00018618,6.72e-05,0.0,0.0,0.0,0.000122001,0.0,1.57e-05,0.0,2.8e-05,0.0,0.0,0.000193934,0.000176977,1.64e-05,2.18e-05,4.01e-05,9.64e-06,1.46e-05,0.0,3.57e-05,0.000102236,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
ENSG00000280332,0.001257043,0.621487015,0.0,0.0,0.0,0.0,0.247471869,0.0,0.000152787,0.000545437,0.000573767,0.00048866,3.82e-05,0.001116496,0.000779745,7.7e-05,0.00013082,0.000240783,0.0,0.000110794,0.000476914,0.000737329,0.0,0.000235417,0.000990719,0.000128855,0.0,0.001665706,0.00037755,0.0,0.000712263,1.34e-05,2.89e-05,0.001090901,0.0,0.0,0.000472843,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
ENSG00000280328,0.00249065,0.446638207,0.0,0.0,0.0,0.0,0.231916929,0.0,0.000409075,0.0,2.26e-05,0.000173746,1.27e-05,0.000763486,0.000985884,0.0,0.000300533,0.000437787,0.0,0.000240857,0.000410368,4.34e-05,0.0,0.000130385,0.000210294,0.000223349,0.0,0.000369271,0.000235969,9.84e-06,0.000541844,0.0,0.0,0.000610124,0.0,0.0,0.000204473,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0
