ID,GC_content,Length_ExonProj,hg38_phastCons7way_exons_merged_mean_score,promoters_hg38_100way_phastCons_elements,promoters_hg38_20way_phastCons_elements,Distance_closest_pc,GM12878_cell,H1.hESC_nucleus,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cytosol,keratinocyte_nucleus,keratinocyte_cytosol,GM12878_nucleus,HeLa.S3_nucleus,K562_nucleus,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,NCI.H460_cytosol,NCI.H460_nucleus,max_exp,mean_exp,Tau_exp,genomic_classification_is_2,genomic_classification_is_3,genomic_classification_is_6,genomic_classification_is_7,genomic_classification_is_8,with_repeat_Alu,with_repeat_L1,with_repeat_L2,with_repeat_TcMar-Tigger
ENSG00000281103,0.369085735,0.0,0.113411697,0.0,0.0,0.217306377,0.008697511,5.84e-05,0.000237086,9.33e-05,0.0,0.0,0.0,0.0,0.001336656,0.0,0.002295528,0.000420926,0.000469542,0.0,0.0,0.0,0.0,0.0,0.0,0.000165954,0.00011722,0.001812119,0.000102236,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1
ENSG00000281026,0.303450729,0.0,0.14569494,0.0,0.0,0.224120478,0.002557658,0.000148899,0.000101608,0.001530487,0.002183735,0.00018618,0.000681938,1.74e-05,0.001102051,0.0,0.000556286,0.000120265,0.0,0.0,0.001902146,0.000294961,2.95e-05,0.000570248,1.34e-05,0.003131155,0.001829774,0.0,0.000178914,0.001538039,0.0,0.0,0.0,0,0,1,0,0,0,1,1,1
ENSG00000280832,0.521878335,0.0,0.028027,0.029850746,0.353233831,0.230310531,0.002012221,0.000374261,0.004442538,0.000574884,0.0,0.001643523,0.000505139,0.005581703,0.000471181,0.001418539,0.001031363,0.00420067,0.002154369,0.002567578,0.000664157,0.004058662,0.002352054,0.000747221,0.001672536,0.004029257,0.001440947,0.004004784,0.002019169,0.001414158,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0
ENSG00000280798,0.42796158,0.0,0.209783573,0.830845771,0.203980099,0.239841682,0.005365922,0.000752545,0.00374257,0.001387718,0.001182172,0.003210005,0.003990598,0.00836386,0.001695463,0.0,0.000567114,0.006889442,0.0,0.002492282,0.001415983,0.005816629,0.003037659,0.00212805,0.000454203,0.001342272,0.002487349,0.005445419,0.002428115,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0
ENSG00000280739,0.359124867,0.0,0.116800564,0.452736318,0.63681592,0.215952701,0.000936088,0.000255543,0.001016082,0.00039214,0.000405003,0.000609901,4.38e-05,0.000220254,0.000317406,0.0,0.001048959,0.0,0.000593832,0.0,0.000215187,0.000637116,5.25e-05,2.62e-05,0.0,0.000241609,0.0,0.0,0.000830671,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1
ENSG00000280734,0.430273924,0.0,0.049412335,0.0,0.0,0.216533521,0.003700128,0.000118717,0.000163702,0.000114215,0.002542218,0.002015883,0.000116182,0.0001507,0.001456916,0.000608463,0.000308597,0.000635684,0.000939084,0.0,0.001415983,0.0,0.000787298,0.000906715,0.000732068,0.001784002,0.0,0.002564149,0.001571885,0.001522792,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0
ENSG00000280594,0.371575952,0.0,0.356737961,0.427860697,0.537313433,0.216274147,0.001216177,0.000237434,0.000304825,0.000279828,0.0,0.00017976,0.0,0.0,0.001397771,0.00119278,0.001306123,0.000249119,0.000483352,0.001024019,2.66e-05,0.001934943,0.000610156,0.000343022,1.34e-05,0.0,0.003939732,0.0,0.002121406,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0
ENSG00000280441,0.711846318,0.0,0.030484279,0.0,0.0,0.368563078,0.001850064,0.000698217,0.000920119,0.000245563,0.000840108,0.001405982,0.000316554,0.000765093,0.001109937,0.00080404,0.0,0.000549781,0.001753877,0.001746856,0.005778166,0.001168045,0.000662643,0.000426047,0.000430157,0.001188521,4.57e-05,0.003923239,0.003501597,0.000651808,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0
ENSG00000280426,0.348096763,0.0,0.107578654,0.432835821,0.233830846,0.215964894,0.000840268,1.41e-05,0.000231441,6.66e-05,7.94e-05,0.0,6.57e-05,6.96e-05,0.000289806,0.00014125,9.34e-05,0.000498239,0.000317631,0.0,7.97e-05,0.000448341,0.000246031,0.0,0.000192368,0.000327026,0.0,0.000299,0.000460064,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0
ENSG00000280417,0.591070793,0.0,0.099703675,0.203980099,0.497512438,0.216110653,0.000103191,4.63e-05,6.77e-05,9.52e-06,0.0,5.14e-05,0.0,6.96e-05,5.91e-05,0.0,0.0,0.000962117,0.000649073,0.0,0.0,3.54e-05,4.92e-05,0.0,0.000622525,0.000517385,0.0,0.007493114,0.001904153,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0
ENSG00000280407,0.678406261,0.0,0.156817267,0.258706468,0.174129353,0.222783429,5.9e-05,6.04e-06,5.08e-05,0.000237949,0.0,3.85e-05,0.0,0.0,0.000240519,0.0,0.0,1.72e-05,0.000455732,0.0,2.66e-05,0.002300695,6.56e-06,0.000120167,5.34e-06,0.0,0.0,0.0,0.00029393,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0
ENSG00000280383,0.370508716,0.0,0.202843911,0.0,0.0,0.211853156,0.000398022,5.43e-05,1.69e-05,9.33e-05,0.000191556,5.14e-05,2.53e-05,0.0,0.000208976,0.000113483,7.31e-05,0.000377974,0.001574346,4.52e-05,6.64e-05,0.000106186,9.84e-06,0.00015294,5.34e-06,0.000112263,9.72e-05,0.0,3.83e-05,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,0
ENSG00000280356,0.392564924,0.0,0.103266181,0.36318408,0.323383085,0.330747448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,0
ENSG00000280355,0.451440768,0.0,0.497932318,0.865671642,0.0,0.221250464,0.001768985,0.000664011,0.000937054,0.001623763,0.002394446,0.000866701,0.000734135,0.000365158,0.001762493,0.00113966,0.001058433,0.003092518,0.012691442,0.0018598,0.002146556,0.003350756,0.000554389,0.000991925,0.000382065,0.000500301,0.0,0.000697666,0.003348243,0.003049396,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0
ENSG00000280347,0.296513696,0.0,0.221819628,0.0,0.0,0.234560546,0.002749298,3.42e-05,0.000513686,0.001698003,0.000831899,0.00017976,0.000781282,0.000515858,0.001324827,0.000625364,0.003241621,0.000309252,0.000939084,7.53e-05,0.000592428,0.000707906,0.000265713,0.000402014,0.000170994,0.002035373,0.0,0.00152218,0.000996805,0.000708985,0.0,0.0,0.0,0,0,1,0,0,1,0,1,0
ENSG00000280332,0.621487015,0.0,0.061060811,0.0,0.0,0.247471869,0.000545437,0.000243471,5.08e-05,0.000597727,0.001116496,7.7e-05,0.000240783,0.0,0.000737329,0.000235417,0.000234155,0.000128855,0.003383464,0.0,0.001665706,0.00037755,0.0,0.000712263,1.34e-05,0.001090901,0.001300855,0.0,0.000472843,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0
ENSG00000280327,0.517253646,0.0,0.078015905,0.0,0.0,0.225297913,0.000250606,0.000116705,0.000259665,0.000327418,0.000186083,8.99e-05,7.91e-05,9.85e-05,0.000124203,0.0,0.000142117,0.000292071,0.001712447,0.0,0.000714633,0.00037755,0.000121375,0.000485038,0.000168322,0.0,0.00040884,0.000280879,0.000230032,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,1
ENSG00000280303,0.567057986,0.0,0.054460487,0.164179105,0.184079602,0.21613199,0.000405392,0.000599622,0.000383853,0.00024366,0.000210711,0.00030174,7.07e-05,0.0,0.00033515,0.001490975,4.06e-05,0.000730178,0.003397274,0.001084256,0.000401151,0.001463006,0.000278835,0.000277477,0.00024046,0.000253811,0.000200132,0.00030806,0.000230032,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0
ENSG00000280287,0.748843828,0.0,0.086050404,0.0,0.0,0.232901496,0.0,0.000444686,0.0,0.000892784,0.001669271,0.0,0.000212158,0.0,0.002085814,0.000391155,0.000749836,0.0005326,0.006242146,0.0,0.000791675,0.000578123,0.000124656,0.001546878,0.00012023,0.000134227,0.002335821,0.0,3.83e-05,0.000661338,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0
ENSG00000280239,0.591070793,0.0,0.102030576,0.0,0.0,0.218446124,0.000847639,0.000839068,0.000304825,0.000751918,0.001401093,0.000564961,4.04e-05,0.0,0.000887161,0.001325579,0.0,0.001417404,0.007195039,0.0,0.002037634,0.001050061,0.000170581,0.000889237,0.000283209,0.0,0.000912028,0.0,0.000587859,0.001646674,0.0,0.0,0.0,0,0,0,1,0,1,1,0,0
ENSG00000280219,0.29544646,0.0,0.117091366,0.243781095,0.034825871,0.217903269,0.0,4.43e-05,0.0,0.0,0.0,0.0,6.57e-05,8.11e-05,0.0,0.0,0.0,0.0,0.0,0.000112943,6.38e-05,0.000436542,6.89e-05,5.46e-05,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,1,0
ENSG00000280213,0.726431875,0.0,0.168650081,0.0,0.0,0.216788738,0.0,0.0,0.0,5.33e-05,0.000194292,0.0,2.36e-05,0.0,2.56e-05,3.26e-05,0.0,2.58e-05,0.0,0.0,0.00046491,0.000165178,1.31e-05,0.000126722,6.68e-05,0.000151311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0
ENSG00000280206,0.351832088,0.0,0.100663795,0.0,0.0,0.232012532,0.016797989,0.000108656,0.010256787,0.001694196,0.001833461,0.016531525,0.001025432,0.008352267,0.00166392,0.000496187,0.000668627,0.005265871,0.004046347,0.00168662,0.0025052,0.006512736,0.003418187,0.000703524,0.004157293,0.001386201,0.003136347,0.009241809,0.011910543,0.002353753,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0
ENSG00000280202,0.313411597,0.0,0.125088793,0.034825871,0.0,0.258295178,0.009036566,4.83e-05,0.00117414,0.000515873,5.47e-05,0.0,8.42e-06,1.16e-05,0.002635854,0.0,0.000856762,0.000128855,0.0,0.0,0.000688067,2.36e-05,0.0,0.0,0.000609166,0.000932269,0.0,0.004376268,0.004332268,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,0,0
ENSG00000280187,0.451796514,0.0,0.209182428,0.074626866,0.0,0.215975147,0.000390651,3.02e-05,0.000530621,5.14e-05,9.3e-05,0.000622741,0.000161644,0.000457897,3.15e-05,0.000171432,6.77e-05,0.001503307,0.000718123,0.000361419,0.000191277,0.000861286,0.000928356,0.00022941,0.000977872,0.0,0.0,0.002536967,0.00084345,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0
ENSG00000280173,0.418890075,0.0,0.119059398,0.069651741,0.0,0.215985677,0.002616624,0.000162984,0.001557993,0.000439729,0.000284597,0.000571381,0.000956396,0.00221993,0.000451466,0.000339242,0.000485905,0.00131432,0.001726257,0.001039078,0.000656187,0.002194509,0.000921795,0.000694784,0.000368706,0.000514944,0.0,0.002047695,0.002223642,0.000916725,0.0,0.0,0.0,0,1,0,0,0,1,1,1,0
ENSG00000280164,0.307363927,0.0,0.06465438,0.0,0.0,0.259544106,0.009766273,0.003963942,0.0,0.009339016,0.005834239,0.002728504,0.001532255,0.000434712,0.005309166,0.003368276,0.009362125,0.007001117,0.010067531,0.0003313,0.011224254,0.002996803,0.000649521,0.0,0.001359937,0.0,0.0,0.0,0.002453674,0.00260914,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0
ENSG00000280157,0.387406617,0.0,0.250986493,0.0,0.0,0.219332318,0.00038328,2.01e-05,1.13e-05,5.33e-05,0.000177873,1.93e-05,1.35e-05,0.0,0.000139974,0.0,0.000192196,0.0,0.0,0.0,0.000140801,0.0,6.56e-06,0.000113613,8.02e-06,0.000104941,0.000477457,0.0,2.56e-05,0.000303034,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0
ENSG00000280145,0.318392031,0.0,0.015575486,0.0,0.0,0.234152642,0.016083024,0.002096664,0.0,0.000999385,0.005601635,0.008923814,0.00322447,0.007708894,0.003481614,0.001639469,0.005037708,0.001176875,0.003991106,0.0,0.001065308,0.005167715,0.000180423,0.000345207,0.000408783,0.0,0.0,0.0,0.003821086,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0
ENSG00000280143,0.541800071,0.0,0.217460209,0.0,0.014925373,0.223585381,2.21e-05,0.000700229,0.000756417,0.000399754,0.000240813,0.00014124,0.000242467,0.000382547,0.000106459,3.62e-05,4.47e-05,0.000893394,0.005551643,0.030223628,8.5e-05,0.041742865,0.000993964,0.001470408,0.0,0.0,0.0,0.0,5.11e-05,0.0,0.0,0.0,0.0,0,0,0,1,0,1,1,1,0
ENSG00000280138,0.425649235,0.0,0.12312707,0.0,0.0,0.218088931,0.000471729,4.83e-05,5.08e-05,0.000750015,0.000142299,1.28e-05,0.000530396,1.74e-05,0.000443581,8.69e-05,0.000295062,6.87e-05,0.001077184,0.0,0.000353332,0.000283162,6.56e-06,0.000159495,5.34e-06,0.000363634,0.000102925,9.06e-05,1.28e-05,4.96e-05,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1
ENSG00000280129,0.386517254,0.0,0.334968591,0.228855721,0.0,0.216791786,0.000832897,0.000183106,0.0,0.000253178,0.001138388,0.00029532,8.42e-05,0.0,0.000514553,0.0,0.000606366,0.000369384,0.001740067,0.0,0.001245959,0.000247767,3.28e-05,0.0,0.000114887,0.00212323,0.0,0.0,0.000370607,0.000678491,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0
ENSG00000280128,0.367307008,0.0,0.294349792,0.0,0.0,0.227150661,0.003877026,0.001295827,0.000869315,0.001612341,0.003105938,0.001566482,0.000789701,0.000550635,0.0,0.000111069,0.000403342,0.0002663,0.002057698,0.000662601,0.003129508,0.002831625,0.001164545,0.002442669,0.000462218,0.001227569,0.003868256,0.001621847,0.000587859,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0
ENSG00000280123,0.169156884,0.0,0.380027039,0.104477612,0.169154229,0.21790604,0.021905934,5.84e-05,0.000677388,0.0,0.000522673,0.001373882,0.000134704,0.0,0.001362285,0.0,0.000132643,0.001108152,0.0,0.000105414,0.001243302,0.0,0.000606876,0.0,0.000876345,0.00217204,0.001655374,0.003288997,0.002351438,0.002010696,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1
ENSG00000280120,0.326040555,0.0,0.167485376,0.0,0.0,0.24106484,0.010864518,0.0005795,0.003894982,0.003474053,0.002936275,0.002388244,0.000804855,0.0,0.003329811,0.001827803,0.003971154,0.006949575,0.027716783,0.000496951,0.012634924,0.003303562,0.001797664,0.00478265,0.000686648,0.008353813,0.02673757,0.007012902,0.021392971,0.016605869,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0
ENSG00000280107,0.313055852,0.0,0.285607204,0.0,0.0,0.219100101,0.001702648,0.000267616,5.08e-05,4.76e-05,0.001986706,0.000603481,0.000387273,0.0,0.001074451,0.0,0.002053252,6.87e-05,0.0,0.0,0.000119548,0.000814092,0.000314919,0.001321838,0.0,0.000165954,0.001566744,0.0,0.000191693,0.000647997,0.0,0.0,0.0,0,1,0,0,0,0,1,0,1
ENSG00000280099,0.305407328,0.0,0.085624903,0.024875622,0.0,0.216688424,0.0,0.000309872,0.000491106,0.000217009,0.000415949,0.001187702,0.00051019,0.000521654,0.0,0.000144872,0.0,0.000566962,0.000952894,0.000353889,0.003538629,0.001038262,0.0,0.0,0.001584367,0.0,0.0,0.000597999,0.00171246,0.000855737,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0
ENSG00000280081,0.401280683,0.0,0.979667292,0.0,0.0,0.412015098,9.58e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000270091,0.0,0.010944361,0.0,0.0,0.0,7.97e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.000652363,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0
ENSG00000280077,0.215581644,0.0,0.126344376,0.0,0.0,0.247067013,0.017129674,1.81e-05,0.000547555,0.001989252,0.001614541,0.0002568,0.000624688,0.0,0.004782784,0.000639852,0.001384625,0.000644275,0.0,0.0,0.005677214,0.001179844,0.0,0.001686709,0.000227101,0.013210397,0.009997999,0.001948028,0.000753994,0.002104084,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0
ENSG00000280046,0.421024546,0.0,0.107292338,0.0,0.0,0.216280243,0.000471729,6.64e-05,0.000208861,0.000237949,0.000202502,0.00026964,0.000127969,0.000202866,0.000126174,0.00023421,0.00010828,0.000747358,0.001104805,9.04e-05,0.000438344,0.000542728,0.000173862,0.0,0.000141604,0.000312383,0.0,0.0,0.000472843,0.000253481,0.0,0.0,0.0,0,0,0,0,1,1,0,1,1
ENSG00000280042,0.445215226,0.0,0.0563911,0.0,0.0,0.245963289,6.63e-05,8.65e-05,1.69e-05,0.000300767,0.000722439,7.7e-05,0.000183534,0.0,4.14e-05,3.02e-05,0.0,0.000103084,0.001712447,0.0,0.000273633,0.000129783,0.0,0.000139831,8.02e-06,9.27e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
ENSG00000280033,0.722162931,0.0,0.157166625,0.0,0.0,0.220619765,0.000722336,0.000140851,0.0,0.00051968,0.000733385,0.00010914,8.42e-05,0.0,0.000964048,0.000354937,0.0,0.00051542,0.005924514,2.26e-05,0.00066947,0.000436542,0.0,0.0,4.54e-05,0.000863935,0.001643937,0.0,0.000153355,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0
ENSG00000280018,0.341337602,0.0,0.019722587,0.0,0.0,0.332877582,0.041092054,0.002362268,0.002145063,0.002880133,0.003751755,0.002497384,0.0,0.0,0.009711456,0.012998647,0.016197275,0.003539215,0.002872492,0.0,0.003605044,0.001392215,0.001335127,0.00197074,0.00181414,0.007184816,0.020607828,0.004294723,0.013533546,0.006638155,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0
ENSG00000279970,0.407506226,0.0,0.171876499,0.0,0.0,0.277897289,0.0,8.85e-05,1.13e-05,0.0,0.001650115,0.004365607,0.000136388,0.000115923,0.0,0.000338035,0.00028288,0.000919165,0.001519106,0.0,0.000818241,0.0,0.0,0.0,0.00051031,0.0,0.0,0.000507393,0.002134185,0.00048028,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0
ENSG00000279881,0.546069015,0.0,0.345778137,0.0,0.0,0.293469131,0.0,0.0,0.000440302,0.000239852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000609894,0.0,0.001050061,9.84e-06,0.0,5.34e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0
ENSG00000279873,0.632870864,0.0,0.231001443,0.23880597,0.517412935,0.216115087,0.001783727,0.000826995,3.95e-05,0.000473994,0.001592649,0.0,9.93e-05,0.0,0.003128721,0.000637437,0.00061178,0.000446697,0.003604425,0.0,0.002786803,0.000247767,0.0,0.001424526,9.08e-05,0.0,0.002873317,0.0,6.39e-05,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0
ENSG00000279861,0.670046247,0.0,0.214312773,0.0,0.0,0.223076056,0.000921346,0.00091553,0.0,0.000932759,0.001600858,0.0,0.000523661,0.0,0.002639797,0.00049498,0.00123168,0.000652865,0.007940782,0.0,0.003310159,0.001097255,0.0,0.000788733,8.02e-05,0.002682104,0.000311633,0.00014497,0.000332268,0.000257293,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0
