ID,repeat_coverage,phastcons_elements_100way_exons_merged_percentage,phastcons_elements_7way_exons_merged_percentage,A549_cell,H1.hESC_cell,endothelial.cell.of.umbilical.vein_cytosol,endothelial.cell.of.umbilical.vein_nucleus,HepG2_nucleus,HepG2_cytosol,keratinocyte_cytosol,keratinocyte_cell,GM12878_nucleus,K562_nucleus,A549_cytosol,A549_nucleus,IMR.90_cytosol,MCF.7_nucleus,IMR.90_cell,SK.N.SH_cytosol,SK.N.SH_nucleus,MCF.7_cytosol,HT1080_cytosol,SK.MEL.5_nucleus,SK.N.DZ_nucleus,SK.MEL.5_cytosol,max_exp,min_exp,mean_exp,median_exp,genomic_classification_is_5,genomic_classification_is_8,with_repeat_ERV1
ENSG00000281205,0.0,0.047050147,0.059587021,0.000118287,0.001042475,0.0,1.52e-05,4.65e-05,0.0,1.74e-05,2.89e-05,0.000169546,0.0,1.72e-05,0.000359061,6.78e-05,0.000185964,0.0,5.58e-05,0.000417308,1.07e-05,0.0,9.27e-05,9.72e-05,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000281195,0.0,0.020458772,0.0,0.001375082,0.000537526,0.0,0.001926434,0.00138741,3.21e-05,1.16e-05,0.0,0.001431286,0.000326192,0.000206168,0.0,0.0,0.001415983,0.000283162,1.31e-05,0.00031025,1.07e-05,9.64e-06,0.005154325,0.000428853,0.0,0.0,0.0,0.0,0.0,0,1,0
ENSG00000281183,0.0,0.036371604,0.04601227,0.002666378,0.002910244,0.0,0.005659375,0.00401446,0.00016692,0.0,0.002259239,0.005102162,0.002437644,0.000627094,0.008244604,0.000128002,0.006163377,0.003586724,6.23e-05,0.001844019,0.0,8.03e-05,0.00518117,0.004534408,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000281026,0.0,0.014931479,0.0,0.000547076,0.000885018,0.000101608,0.001530487,0.002183735,0.00018618,1.74e-05,0.0,0.001102051,0.000556286,0.000120265,0.0,0.0,0.001902146,0.000294961,2.95e-05,0.000570248,1.34e-05,8.68e-05,0.003131155,0.001829774,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000281005,0.0,0.006082725,0.0,5.42e-05,4.89e-05,0.000214506,0.000308382,0.000623924,0.0,0.0,7.71e-05,0.00034895,0.00022468,5.15e-05,0.000234771,0.000158121,0.000770422,0.000247767,7.22e-05,0.000380165,0.00016565,0.0,0.000300181,0.0,0.000262757,0.0,0.0,0.0,0.0,0,1,0
ENSG00000280832,0.0,0.028233396,0.041140091,0.002084802,0.001140208,0.004442538,0.000574884,0.0,0.001643523,0.005581703,0.002736136,0.000471181,0.001031363,0.00420067,0.002154369,0.002567578,0.000664157,0.004058662,0.002352054,0.000747221,0.001672536,0.000848424,0.004029257,0.001440947,0.004004784,0.0,0.0,0.0,0.0,1,0,0
ENSG00000280734,0.0,0.003391473,0.0,0.00116808,0.00110763,0.000163702,0.000114215,0.002542218,0.002015883,0.0001507,0.000356468,0.001456916,0.000308597,0.000635684,0.000939084,0.0,0.001415983,0.0,0.000787298,0.000906715,0.000732068,0.000870921,0.001784002,0.0,0.002564149,0.0,0.0,0.0,0.0,0,0,1
ENSG00000280604,0.0,0.055578684,0.041215654,0.0,0.0,0.0,5.71e-06,0.0,0.0,2.32e-05,9.63e-06,9.07e-05,0.0,0.0,4.14e-05,0.0,0.000419747,0.000353953,2.3e-05,0.000465374,2.67e-05,0.0,8.54e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
ENSG00000280441,0.0,0.0,0.0,0.000438646,0.002209831,0.000920119,0.000245563,0.000840108,0.001405982,0.000765093,0.000375737,0.001109937,0.0,0.000549781,0.001753877,0.001746856,0.005778166,0.001168045,0.000662643,0.000426047,0.000430157,0.000414571,0.001188521,4.57e-05,0.003923239,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280434,0.0,0.062127481,0.02299979,5.42e-05,9.77e-05,3.95e-05,0.000767147,5.47e-06,0.0,0.0,9.63e-06,0.001385943,0.00019355,1.72e-05,0.000580022,0.0,2.66e-05,0.000117984,0.0,9.61e-05,0.0,0.0,0.000619886,0.0,2.72e-05,0.0,0.0,0.0,0.0,0,1,0
ENSG00000280388,0.0,0.003524673,0.0,0.00024643,0.0,0.0,0.000430212,0.000186083,0.0,0.0,0.000192686,0.000189261,0.000311304,0.000137445,0.001256715,5.27e-05,0.000884657,0.000283162,1.97e-05,0.000423862,4.01e-05,0.0,0.000353872,0.0,0.000235576,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280374,0.0,0.21031746,0.119047619,0.001424368,0.00037464,0.000203216,0.000550138,0.000495308,0.000584221,0.0,0.00026976,0.000307549,0.000345141,0.000300661,0.0,4.52e-05,0.0,0.000625317,0.000751214,0.0,0.0,0.0,0.0,0.002041341,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280367,0.0,0.016248154,0.0,0.00017743,3.8e-05,5.08e-05,0.0,5.47e-05,7.06e-05,0.0,3.85e-05,0.000112374,0.000190843,4.3e-05,6.91e-05,0.0,3.72e-05,0.0,1.97e-05,3.06e-05,1.07e-05,0.000112481,0.000187918,0.000588958,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280355,0.0,0.441301273,0.281471004,0.002651592,0.001259658,0.000937054,0.001623763,0.002394446,0.000866701,0.000365158,0.000659948,0.001762493,0.001058433,0.003092518,0.012691442,0.0018598,0.002146556,0.003350756,0.000554389,0.000991925,0.000382065,0.001391545,0.000500301,0.0,0.000697666,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280347,0.0,0.030558906,0.023321271,0.001079365,0.000195464,0.000513686,0.001698003,0.000831899,0.00017976,0.000515858,0.000968245,0.001324827,0.003241621,0.000309252,0.000939084,7.53e-05,0.000592428,0.000707906,0.000265713,0.000402014,0.000170994,0.000485273,0.002035373,0.0,0.00152218,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280339,0.0,0.031403941,0.021551724,0.0,9.23e-05,0.000694323,0.00108124,0.000191556,0.00018618,0.0,0.0,0.0,6.63e-05,0.0,0.0,0.0,0.000193934,0.000176977,1.64e-05,2.18e-05,4.01e-05,9.64e-06,1.46e-05,2.29e-05,0.0,0.0,0.0,0.0,0.0,1,0,0
ENSG00000280325,0.0,0.058631922,0.0,3.45e-05,0.001455122,0.002365214,0.0,0.000202502,0.005951349,0.0,0.0,9.27e-05,0.00131289,0.0,4.14e-05,0.0,0.0,0.0,1.64e-05,0.0,4.27e-05,5.78e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280287,0.0,0.010194405,0.022996681,0.000123215,0.000450653,0.0,0.000892784,0.001669271,0.0,0.0,0.0,0.002085814,0.000749836,0.0005326,0.006242146,0.0,0.000791675,0.000578123,0.000124656,0.001546878,0.00012023,9.96e-05,0.000134227,0.002335821,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280239,0.0,0.0,0.0,0.000162644,0.001503988,0.000304825,0.000751918,0.001401093,0.000564961,0.0,2.89e-05,0.000887161,0.0,0.001417404,0.007195039,0.0,0.002037634,0.001050061,0.000170581,0.000889237,0.000283209,0.000173541,0.0,0.000912028,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280237,0.0,0.230679837,0.227193492,0.0,0.004267634,1.13e-05,0.0,0.0,0.0,0.0,0.0,0.001301169,0.0,0.000223349,0.0,0.0,0.001059995,3.54e-05,0.00039693,0.000677305,0.000128246,0.0,0.000532028,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280206,0.0,0.06015891,0.043132804,0.005046896,0.002682202,0.010256787,0.001694196,0.001833461,0.016531525,0.008352267,0.004648541,0.00166392,0.000668627,0.005265871,0.004046347,0.00168662,0.0025052,0.006512736,0.003418187,0.000703524,0.004157293,0.006790609,0.001386201,0.003136347,0.009241809,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280200,0.0,0.011352419,0.037018756,0.0,0.0,0.0,0.0,0.000366692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.31e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280173,0.0,0.004239284,0.009420631,0.001981301,0.0,0.001557993,0.000439729,0.000284597,0.000571381,0.00221993,0.001878685,0.000451466,0.000485905,0.00131432,0.001726257,0.001039078,0.000656187,0.002194509,0.000921795,0.000694784,0.000368706,0.000530265,0.000514944,0.0,0.002047695,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280164,0.0,0.0,0.0,0.007057768,0.007481933,0.0,0.009339016,0.005834239,0.002728504,0.000434712,0.002114725,0.005309166,0.009362125,0.007001117,0.010067531,0.0003313,0.011224254,0.002996803,0.000649521,0.0,0.001359937,0.00056883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280161,0.0,0.0508647,0.0,0.000473146,0.002372718,0.000237086,6.85e-05,0.000262705,0.000532861,0.0,9.15e-05,0.000725501,0.000423644,0.004587235,0.00977752,0.001219788,0.00070932,0.001168045,0.0,0.000452265,0.002041242,0.001780406,0.0,0.0,0.001739635,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280157,0.0,0.0,0.0,2.96e-05,3.8e-05,1.13e-05,5.33e-05,0.000177873,1.93e-05,0.0,0.0,0.000139974,0.000192196,0.0,0.0,0.0,0.000140801,0.0,6.56e-06,0.000113613,8.02e-06,6.43e-06,0.000104941,0.000477457,0.0,0.0,0.0,0.0,0.0,0,0,1
ENSG00000280149,0.0,0.0,0.0,0.000502718,0.0,0.000141123,0.0,0.000101251,0.0,0.000133312,0.000327566,0.000260234,0.0,0.0,0.0,0.0,0.001758688,0.0,0.00040349,0.0,0.000197712,0.000276381,0.00103721,0.000794808,0.000362424,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280138,0.0,0.022399657,0.018862869,0.00021193,7.6e-05,5.08e-05,0.000750015,0.000142299,1.28e-05,1.74e-05,0.000289028,0.000443581,0.000295062,6.87e-05,0.001077184,0.0,0.000353332,0.000283162,6.56e-06,0.000159495,5.34e-06,1.93e-05,0.000363634,0.000102925,9.06e-05,0.0,0.0,0.0,0.0,0,1,0
ENSG00000280136,0.0,0.227838828,0.256410256,0.000414003,0.0,9.03e-05,0.000157998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000980514,0.0,0.0,0.000129783,0.0,0.0,0.0,0.0,0.001110425,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280129,0.0,0.335591133,0.331896552,0.000349931,0.000608111,0.0,0.000253178,0.001138388,0.00029532,0.0,0.00010116,0.000514553,0.000606366,0.000369384,0.001740067,0.0,0.001245959,0.000247767,3.28e-05,0.0,0.000114887,0.000183183,0.00212323,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
ENSG00000280123,0.0,0.133731618,0.222886029,0.003198667,0.0,0.000677388,0.0,0.000522673,0.001373882,0.0,0.0,0.001362285,0.000132643,0.001108152,0.0,0.000105414,0.001243302,0.0,0.000606876,0.0,0.000876345,0.001449392,0.00217204,0.001655374,0.003288997,0.0,0.0,0.0,0.0,0,0,1
ENSG00000280120,0.0,0.135802469,0.064577398,0.008437779,0.0,0.003894982,0.003474053,0.002936275,0.002388244,0.0,0.001459594,0.003329811,0.003971154,0.006949575,0.027716783,0.000496951,0.012634924,0.003303562,0.001797664,0.00478265,0.000686648,0.002882715,0.008353813,0.02673757,0.007012902,0.0,0.0,0.0,0.0,0,1,0
ENSG00000280109,0.0,0.007793765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
ENSG00000280107,0.0,0.01372315,0.0,0.000157715,0.001650586,5.08e-05,4.76e-05,0.001986706,0.000603481,0.0,0.000476897,0.001074451,0.002053252,6.87e-05,0.0,0.0,0.000119548,0.000814092,0.000314919,0.001321838,0.0,0.00026674,0.000165954,0.001566744,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280099,0.0,0.007575758,0.0,0.000759006,0.002258697,0.000491106,0.000217009,0.000415949,0.001187702,0.000521654,0.000558788,0.0,0.0,0.000566962,0.000952894,0.000353889,0.003538629,0.001038262,0.0,0.0,0.001584367,0.000478846,0.0,0.0,0.000597999,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280077,0.0,0.0,0.0,0.002252374,0.0,0.000547555,0.001989252,0.001614541,0.0002568,0.0,0.001006783,0.004782784,0.001384625,0.000644275,0.0,0.0,0.005677214,0.001179844,0.0,0.001686709,0.000227101,0.001057317,0.013210397,0.009997999,0.001948028,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280069,0.0,0.075967511,0.0,0.000330217,0.000418076,1.13e-05,0.000496837,0.000396794,2.57e-05,0.0,4.34e-05,0.000749158,0.000373565,2.58e-05,0.0,0.0,0.000215187,0.000141581,9.84e-06,0.000340838,0.0,0.0,0.0,0.000454584,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280063,0.0,0.0,0.0,0.000581576,0.0,0.0,0.001461958,0.00249296,0.00017976,1.74e-05,0.000332383,0.001742779,0.001277699,0.002465424,0.016102526,0.0,0.003219833,0.002206307,0.000131216,0.004212403,7.75e-05,0.0,0.00118608,0.0,8.15e-05,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280047,0.0,0.091221374,0.072137405,0.000172501,3.26e-05,0.000203216,0.000114215,0.0,6.42e-05,0.000510062,0.000409457,0.0,1.49e-05,0.000180397,0.000497162,9.04e-05,0.000233783,0.000330356,0.000272274,0.000235964,6.68e-05,0.0,0.0,0.000240158,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280046,0.0,0.054621849,0.033333333,0.000645648,0.000586392,0.000208861,0.000237949,0.000202502,0.00026964,0.000202866,0.000342017,0.000126174,0.00010828,0.000747358,0.001104805,9.04e-05,0.000438344,0.000542728,0.000173862,0.0,0.000141604,5.14e-05,0.000312383,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
ENSG00000280018,0.0,0.196969697,0.039842873,0.004475177,0.007758841,0.002145063,0.002880133,0.003751755,0.002497384,0.0,0.000712937,0.009711456,0.016197275,0.003539215,0.002872492,0.0,0.003605044,0.001392215,0.001335127,0.00197074,0.00181414,0.002056787,0.007184816,0.020607828,0.004294723,0.0,0.0,0.0,0.0,0,0,0
ENSG00000280002,0.0,0.0,0.0,0.000916721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001468946,0.001450056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
ENSG00000279993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91e-06,0.0,0.0,0.0,0.0,7.97e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
ENSG00000279970,0.0,0.008534137,0.036646586,0.000793506,0.000157457,1.13e-05,0.0,0.001650115,0.004365607,0.000115923,8.67e-05,0.0,0.00028288,0.000919165,0.001519106,0.0,0.000818241,0.0,0.0,0.0,0.00051031,0.000356724,0.0,0.0,0.000507393,0.0,0.0,0.0,0.0,0,1,0
ENSG00000279861,0.0,0.111642743,0.110047847,0.000285859,0.001639727,0.0,0.000932759,0.001600858,0.0,0.0,0.000399823,0.002639797,0.00123168,0.000652865,0.007940782,0.0,0.003310159,0.001097255,0.0,0.000788733,8.02e-05,2.57e-05,0.002682104,0.000311633,0.00014497,0.0,0.0,0.0,0.0,0,1,0
ENSG00000279803,0.0,0.047723292,0.030210158,0.000167573,0.000103162,0.000186282,0.001994963,0.000369429,0.0,0.0,9.63e-05,9.27e-05,0.000165126,0.00027489,0.009556559,0.0,0.000634934,0.000401147,0.0,0.001096798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279792,0.0,0.077262693,0.088300221,0.000379503,0.000396358,0.0,0.000357875,0.001297106,0.00018618,0.0,9.15e-05,0.000512582,0.000374918,0.000429516,0.003783955,6.78e-05,0.000156741,0.000342155,4.59e-05,0.000308065,3.47e-05,0.0,0.0,0.000557509,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279789,0.0,0.010943912,0.0,0.001508154,0.000504949,0.000355629,0.003028613,0.002090693,0.0001605,0.0,0.001377702,0.002314504,0.001445533,0.001279959,0.017304001,0.0,0.005411552,0.002772632,0.0,0.003845347,0.0,2.25e-05,0.003162881,0.000548932,9.97e-05,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279759,0.0,0.009026029,0.0,0.001138509,0.00098275,0.000118543,0.001482897,0.000919467,5.14e-05,0.0,0.000703303,0.000753101,0.001177541,0.000876213,0.008465565,0.000120473,0.002032321,0.001864153,3.28e-05,0.001090243,3.47e-05,6.43e-06,0.002704068,0.000737628,0.000244636,0.0,0.0,0.0,0.0,0,1,0
ENSG00000279748,0.0,0.03514377,0.040335463,6.9e-05,0.000103162,2.26e-05,7.04e-05,0.000202502,0.0,0.0,0.0,0.00081816,0.0,0.0,0.000814793,0.000158121,0.000951073,0.0,0.0,0.00060739,0.000136261,8.03e-05,2.68e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279744,0.0,0.004836759,0.0,0.000384432,0.000461513,0.0,0.001564752,0.000818216,0.0,0.0,6.74e-05,0.0020937,0.002786846,0.000223349,0.001822927,0.0,0.001620543,0.0,5.58e-05,0.001483517,2.4e-05,0.0,0.000737029,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279738,0.0,0.051661087,0.043677569,0.000123215,0.00024433,9.03e-05,0.00022272,0.000218921,0.00013482,6.96e-05,0.000139697,0.000185318,0.000154298,0.000111674,0.0,6.02e-05,0.000185964,0.000176977,5.25e-05,0.000176973,1.87e-05,7.07e-05,0.000236728,0.000162964,0.000181212,0.0,0.0,0.0,0.0,0,1,0
ENSG00000279696,0.0,0.108536972,0.119009838,0.000763934,0.000385499,0.000141123,0.00041879,0.000862001,9.63e-05,0.000104331,0.0,0.000895047,0.00028288,0.00025771,0.0,0.0,0.000233783,0.000637116,0.000147618,0.0,2.14e-05,0.00018961,0.000729708,0.004228493,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279672,0.0,0.0,0.0,0.001286367,0.00468571,0.002116838,0.002482282,0.008212266,0.005745909,2.9e-05,0.0,0.004230772,0.003021001,0.00786874,0.046153209,0.0,0.001429266,0.005002537,0.0,0.00319426,0.000109543,0.000899844,0.004353842,0.011235955,0.002536967,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279656,0.0,0.296296296,0.154320988,0.000374574,0.000190035,0.000242731,0.000529198,0.0,0.000398041,0.0,1.45e-05,0.000189261,0.000276113,0.000180397,0.0,0.0,0.00089794,0.0,0.000147618,0.0,6.15e-05,0.0,0.0,0.000494611,0.00045303,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279613,0.0,0.0,0.024336283,6.9e-05,3.8e-05,2.26e-05,0.000154191,0.000383111,5.78e-05,0.0,0.0,0.000130117,7.99e-05,0.0,0.000911464,0.0,0.000103608,3.54e-05,6.56e-06,0.000321174,0.0,0.0,0.0,0.000171541,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279611,0.0,0.022702703,0.0,8.87e-05,0.00037464,0.0,0.000180841,0.0,0.0,0.0,0.0,0.001040936,0.000569821,0.000180397,0.002927732,0.000414125,0.002502544,0.0015102,6.89e-05,0.00289275,0.000109543,0.000106053,0.002140314,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279608,0.0,0.107349588,0.064374671,0.000162644,0.000108591,5.08e-05,0.0003179,0.000158718,0.0,0.0,0.000105977,0.000112374,2.84e-05,6.01e-05,0.001532916,0.0,0.000191277,0.000165178,0.0,0.00014857,0.0,0.0,1.46e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
ENSG00000279594,0.0,0.256005057,0.205436157,0.000414003,4.34e-05,0.0,0.000348357,0.00080727,0.0,0.0,4.34e-05,0.000406123,0.00011234,8.59e-05,0.000731933,0.0,0.000361301,0.0,1.64e-05,9.61e-05,0.0,0.0,0.000390479,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279529,0.0,0.135493373,0.131443299,0.000266145,0.000287767,0.000327404,0.000456862,0.00070602,0.000365941,1.74e-05,0.0001686,0.000721558,0.000357323,0.000352203,0.000897654,0.0,0.00135488,0.000648914,0.000203385,0.001328393,0.00031527,0.000221747,0.000636969,0.000617549,0.000126848,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279522,0.0,0.049436796,0.019399249,0.000842792,0.000135739,0.0,0.000104697,3.01e-05,3.85e-05,2.9e-05,9.15e-05,9.86e-05,5.28e-05,0.000249119,0.000345251,0.0,0.000140801,0.0,0.000147618,0.000104873,5.08e-05,3.86e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
ENSG00000279519,0.0,0.025983951,0.0,0.001552512,0.000347492,0.000993503,0.001741786,0.000851055,0.0002889,0.000730316,0.001343982,0.000940391,0.000365444,0.000566962,0.003107263,0.0,0.001450519,0.001109053,0.000554389,0.001079319,9.89e-05,0.0,0.001618048,0.001077851,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279518,0.0,0.0,0.0,0.000349931,1.09e-05,2.26e-05,0.000276021,0.00022713,1.93e-05,0.0,0.000260126,8.67e-05,3.93e-05,2.58e-05,0.0,0.0,0.001123754,0.000117984,1.31e-05,0.00015731,8.02e-06,0.0,0.00537641,0.000926323,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279511,0.0,0.017861903,0.0,3.45e-05,0.0,0.0,0.0,3.01e-05,1.93e-05,2.9e-05,1.45e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279495,0.0,0.0,0.0,0.000280931,0.001091341,0.001281393,0.00086423,0.00087842,0.001515122,0.000579616,0.000510617,0.000559897,0.0,0.00079031,0.001684827,0.001099315,0.000972326,0.002229904,0.000495342,0.000581172,0.00051031,0.001925024,0.0,0.000162964,0.00075203,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279491,0.0,0.005896226,0.0,0.000133072,0.0,0.0,4e-05,0.000207975,0.00011556,0.0,1.45e-05,0.0,0.000330253,0.000300661,0.000483352,4.52e-05,0.000539296,0.0,2.95e-05,0.0,8.28e-05,2.89e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279453,0.0,0.0,0.179950698,0.001256795,0.001313953,0.00203781,0.000978446,0.000383111,0.0,0.0,0.001710085,0.000226719,0.000177308,0.000352203,0.001284335,0.000587305,0.000887314,0.002182711,0.001892796,0.0,0.000309927,0.002445648,0.000854173,0.000603254,0.002745361,0.0,0.0,0.0,0.0,0,0,0
ENSG00000279407,0.0,0.014028056,0.009352037,0.001616584,0.001275947,0.000406433,0.000740497,0.001663798,0.000725461,1.16e-05,0.000125246,0.000739301,0.00066998,0.001357272,0.006504537,0.0,0.003320785,0.0,0.000127936,0.00038235,0.000371378,0.000488487,0.001791323,0.00163536,0.000498333,0.0,0.0,0.0,0.0,0,1,0
ENSG00000279348,0.0,0.082742317,0.0,0.002454447,0.0,0.001016082,0.000582499,0.000380375,0.00025038,0.0,0.000679217,0.000530325,5.14e-05,0.000695817,0.001187665,0.000180709,0.000528669,0.001592789,0.001089096,0.0,0.000138933,0.000488487,0.0,0.002375847,0.000135909,0.0,0.0,0.0,0.0,0,0,1
